atleta_id,fbref_xG_jogo,fbref_xA_jogo
69014,0.0,0.0
69022,,
69029,,
69034,0.0,0.0
69040,0.0,0.0
69041,0.060714285714285714,0.1142857142857143
69051,0.0,0.0
69063,,
69102,0.0,0.0
69138,0.0,0.0
69140,0.0,0.0
69141,,
69165,0.4095238095238095,0.10476190476190476
69189,,
69299,0.0,0.0
69318,0.0,0.0
69325,0.0,0.0
69345,0.015384615384615385,0.007692307692307693
69355,0.0,0.0
69375,,
69686,0.0,0.0
69705,,
69783,0.05263157894736842,0.031578947368421054
70116,,
70164,0.0,0.0
70171,0.0,0.0
70172,0.0,0.0
70216,0.0,0.0
70221,0.0,0.0
70316,,
70323,,
70332,0.0,0.0
70360,0.0,0.0
70449,0.0,0.0
70592,0.0,0.0
70666,0.0,0.0
70696,0.055999999999999994,0.02
70788,0.0,0.0
70800,,
70916,0.0,0.0
70925,0.0,0.0
70944,0.0,0.0
70958,0.0,0.0
70984,0.0,0.0
70986,,
71038,,
71071,,
71123,0.0,0.0
71162,0.0,0.0
71227,0.0,0.0
71505,,
71536,0.0,0.0
71571,0.0,0.0
71602,,
71631,0.0,0.0
71680,0.058823529411764705,0.08235294117647059
71684,0.0,0.0
71691,,
71701,0.0,0.0
71709,0.0,0.0
71719,0.0,0.0
71829,,
71844,,
71898,0.0,0.0
71937,,
72018,0.0,0.0
72079,,
72134,0.0,0.0
72142,,
72290,,
72294,0.0,0.0
72359,,
72362,0.0,0.0
72372,0.0,0.0
72391,,
72460,0.0,0.0
72491,,
72493,0.0,0.0
72497,,
72524,,
72532,,
72580,,
72583,0.0,0.0
72588,,
72595,,
72605,0.0,0.0
72762,,
72772,0.0,0.003448275862068966
72775,,
72801,0.0,0.0
72864,0.0,0.0
72951,0.0,0.0
73318,0.0,0.0
73347,,
73384,0.0,0.0
73421,,
73465,,
73476,0.0,0.0
73479,0.0,0.0
73515,0.0,0.0
73533,,
73620,,
73738,,
73766,,
73781,0.0,0.0
73800,0.0,0.0
73850,,
73858,,
73962,,
73974,0.0,0.0
73991,,
