Clube,Pos,Nome,Status,Jogos,Média,M. Básica,Escanteios/Jogo,XA/Jogo,XG/Jogo,Assistências,Gols,G + A
FLU,MEI,Lucho Acosta,0,13,5.41,5.94,0.0,0.33,0.52,2,3,5
VIT,MEI,Matheuzinho,0,24,4.0,4.7,0.0,0.27,0.51,1,4,5
Clube 292,ATA,Derik Lacerda,0,16,5.49,5.49,0.0,0.15,0.58,0,5,5
SAO,LAT,Enzo Díaz,0,24,6.05,6.83,0.0,0.34,0.22,5,0,5
FLU,MEI,Arias,0,12,5.88,5.88,0.0,0.6,0.52,4,1,5
GRE,ATA,Braithwaite,0,16,4.37,4.68,0.0,0.21,0.5,1,4,5
FLA,ATA,Plata,0,21,3.25,4.32,0.0,0.12,0.32,1,4,5
FLU,LAT,Samuel Xavier,0,25,5.6,6.11,0.0,0.16,0.35,1,4,5
CRU,ATA,Lautaro Díaz,0,13,3.33,5.13,0.0,0.22,0.37,2,3,5
VIT,ZAG,Lucas Halter,0,24,4.09,5.4,0.0,0.07,0.23,1,4,5
FLU,ATA,Canobbio,0,27,5.27,5.47,0.0,0.22,0.44,1,4,5
COR,LAT,Matheuzinho,0,29,5.54,6.01,0.0,0.19,0.21,3,2,5
BAH,MEI,Rodrigo Nestor,0,17,4.3,5.17,0.0,0.09,0.45,0,5,5
VAS,ATA,David,0,9,1.95,5.34,0.0,0.37,0.29,3,2,5
BOT,ATA,Arthur Cabral,0,17,4.06,4.81,0.0,0.2,0.49,1,4,5
Clube 286,ATA,Batalla,0,19,4.02,4.47,0.0,0.2,0.45,1,4,5
BOT,LAT,Marçal,0,13,5.41,6.87,0.0,0.06,0.48,0,5,5
SAN,ATA,Tiquinho Soares,0,22,2.56,3.22,0.0,0.3,0.37,3,2,5
MIR,LAT,Lucas Ramon,0,27,5.91,6.4,0.0,0.26,0.32,3,2,5
PAL,MEI,Felipe Anderson,0,25,4.92,5.33,0.0,0.14,0.24,2,3,5
GRE,MEI,Edenílson,0,25,2.48,2.84,0.0,0.2,0.31,2,3,5
CAM,MEI,Gustavo Scarpa,0,24,3.29,4.21,0.0,0.27,0.35,3,2,5
CRU,MEI,Lucas Romero,0,33,4.28,4.28,0.0,0.24,0.27,3,1,4
MIR,LAT,Daniel Borges,0,13,4.49,5.18,0.0,0.22,0.27,2,2,4
FLA,LAT,Varela,0,17,5.13,6.05,0.0,0.31,0.11,4,0,4
FLA,ZAG,Léo Pereira,0,29,4.85,5.45,0.0,0.04,0.22,0,4,4
Clube 286,ATA,Gilberto,0,13,2.05,3.7,0.0,0.26,0.33,2,2,4
PAL,MEI,Allan,0,20,3.35,4.11,0.0,0.21,0.16,3,1,4
FLA,MEI,Jorginho,0,15,3.61,4.21,0.0,0.13,0.3,1,3,4
FLA,ATA,Michael,0,9,3.12,4.54,0.0,0.37,0.18,3,1,4
INT,LAT,Bernabéi,0,29,5.48,5.48,0.0,0.25,0.19,4,0,4
CAM,ATA,Dudu,0,11,3.41,4.95,0.0,0.25,0.53,1,3,4
FLU,MEI,Martinelli,0,24,2.7,3.67,0.0,0.22,0.31,2,2,4
VIT,LAT,Raúl Cáceres,0,12,3.94,6.43,0.0,0.21,0.24,2,2,4
SAN,MEI,João Schmidt,0,21,2.62,3.98,0.0,0.16,0.2,2,2,4
Clube 286,LAT,Igor Formiga,0,14,7.48,8.69,0.0,0.22,0.28,2,2,4
BAH,MEI,Jean Lucas,0,30,4.16,4.55,0.0,0.13,0.27,1,3,4
Clube 356,ATA,Lucero,0,14,2.5,4.66,0.0,0.14,0.35,1,3,4
BAH,MEI,Cauly,0,21,1.66,2.39,0.0,0.19,0.13,3,1,4
SAO,MEI,Marcos Antônio,0,22,1.91,2.62,0.0,0.29,0.18,4,0,4
BOT,ATA,Igor Jesus,0,9,7.19,7.19,0.0,0.36,0.76,1,3,4
FLU,ATA,Soteldo,0,16,2.36,3.1,0.0,0.26,0.34,2,2,4
Clube 356,MEI,Matheus Pereira,0,11,2.57,3.8,0.0,0.34,0.2,3,1,4
SAO,LAT,Maik,0,9,7.7,7.7,0.0,0.3,0.34,2,2,4
CRU,MEI,Lucas Silva,0,23,1.95,3.24,0.0,0.18,0.25,2,2,4
INT,MEI,Bruno Tabata,0,20,3.43,4.3,0.0,0.16,0.34,1,3,4
BAH,MEI,Michel Araújo,0,14,3.11,5.15,0.0,0.08,0.44,0,4,4
FLU,MEI,Hércules,0,22,2.94,4.45,0.0,0.12,0.27,1,3,4
SAN,MEI,Rollheiser,0,29,2.75,3.37,0.0,0.22,0.24,3,1,4
COR,ATA,Gui Negão,0,17,2.42,3.21,0.0,0.21,0.4,1,3,4
GRE,MEI,Cristaldo,0,26,2.81,3.03,0.0,0.23,0.23,3,1,4
PAL,LAT,Piquerez,0,25,5.66,6.38,0.0,0.1,0.24,1,3,4
Clube 292,ATA,Romarinho,0,19,2.12,2.68,0.0,0.19,0.33,1,2,3
SAN,MEI,Thaciano,0,13,2.75,4.02,0.0,0.07,0.36,0,3,3
Clube 292,ATA,Pablo,0,13,2.43,3.58,0.0,0.19,0.37,1,2,3
FLU,ATA,Keno,0,11,2.61,3.92,0.0,0.35,0.39,2,1,3
COR,MEI,Garro,0,17,3.67,4.2,0.0,0.52,0.54,3,0,3
RBB,MEI,Eric Ramires,0,25,2.58,3.14,0.0,0.17,0.29,1,2,3
Clube 356,ATA,Marinho,0,14,3.03,3.76,0.0,0.3,0.35,2,1,3
SAN,MEI,Gabriel Bontempo,0,17,2.78,4.17,0.0,0.16,0.29,1,2,3
RBB,ATA,Vinicinho,0,19,3.15,3.65,0.0,0.35,0.31,3,0,3
Clube 356,LAT,Mancuso,0,23,4.37,4.78,0.0,0.2,0.23,2,1,3
VAS,LAT,Puma Rodríguez,0,18,3.3,4.23,0.0,0.15,0.14,2,1,3
PAL,ATA,Estêvão,0,10,3.1,3.42,0.0,0.49,0.34,3,0,3
Clube 356,MEI,Yago Pikachu,0,17,1.98,3.39,0.0,0.16,0.29,1,2,3
FLA,ATA,Wallace Yan,0,12,2.19,2.67,0.0,0.32,0.33,2,1,3
GRE,LAT,Marlon,0,27,5.34,5.77,0.0,0.21,0.25,2,1,3
CRU,ATA,Arroyo,0,11,4.34,5.13,0.0,0.25,0.46,1,2,3
FLA,LAT,Wesley,0,11,8.31,8.31,0.0,0.39,0.42,2,1,3
COR,MEI,Raniele,0,28,4.15,4.47,0.0,0.21,0.35,1,2,3
GRE,ATA,Cristian Olivera,0,20,4.15,4.15,0.0,0.14,0.38,0,3,3
VIT,MEI,Baralhas,0,22,4.03,4.81,0.0,0.16,0.29,1,2,3
VIT,ATA,Léo Pereira,0,19,3.6,3.8,0.0,0.23,0.4,1,2,3
FLU,ATA,John Kennedy,0,12,2.99,3.75,0.0,0.19,0.35,1,2,3
Clube 286,MEI,Luis Mandaca,0,30,4.25,4.25,0.0,0.19,0.33,1,2,3
SAO,ZAG,Ferraresi,0,20,5.99,6.97,0.0,0.28,0.2,3,0,3
GRE,ATA,Aravena,0,20,2.25,2.53,0.0,0.05,0.25,0,3,3
SAO,LAT,Cédric Soares,0,18,3.25,4.65,0.0,0.22,0.09,3,0,3
PAL,MEI,Lucas Evangelista,0,14,3.36,4.57,0.0,0.21,0.35,1,2,3
Clube 286,ATA,Ênio,0,20,2.61,3.25,0.0,0.15,0.4,0,3,3
BAH,ATA,Kayky,0,17,2.02,2.98,0.0,0.17,0.14,2,1,3
INT,ATA,Wesley,0,18,4.54,4.54,0.0,0.36,0.32,3,0,3
PAL,ZAG,Gustavo Gómez,0,21,4.93,5.94,0.0,0.11,0.22,1,2,3
FLA,ZAG,Léo Ortiz,0,24,4.76,5.19,0.0,0.1,0.09,2,1,3
SAO,ZAG,Arboleda,0,21,5.13,6.0,0.0,0.07,0.26,0,3,3
COR,ZAG,Gustavo Henrique,0,19,4.17,5.19,0.0,0.04,0.23,0,3,3
Clube 354,MEI,Lourenço,0,22,2.54,3.55,0.0,0.14,0.25,1,2,3
CRU,ZAG,Fabrício Bruno,0,31,4.9,5.23,0.0,0.06,0.2,0,3,3
BOT,MEI,Marlon Freitas,0,22,1.93,2.86,0.0,0.17,0.08,3,0,3
INT,MEI,Thiago Maia,0,23,2.75,3.67,0.0,0.08,0.14,1,2,3
CRU,ATA,Sinisterra,0,9,3.87,4.73,0.0,0.2,0.36,1,2,3
FLU,MEI,Nonato,0,19,2.76,2.94,0.0,0.14,0.25,1,2,3
SAN,LAT,Souza,0,22,4.66,4.88,0.0,0.18,0.2,2,1,3
COR,ATA,Vitinho,0,11,3.87,4.23,0.0,0.35,0.13,3,0,3
GRE,ATA,Alysson,0,27,4.44,4.6,0.0,0.26,0.34,2,1,3
BOT,ATA,Nathan Fernandes,0,7,3.14,4.04,0.0,0.36,0.26,2,1,3
MIR,ZAG,João Victor,0,27,3.24,3.79,0.0,0.11,0.19,1,2,3
FLU,MEI,Lima,0,20,1.97,2.65,0.0,0.18,0.32,1,2,3
BOT,ATA,Chris Ramos,0,10,3.81,4.38,0.0,0.13,0.52,0,3,3
COR,MEI,Maycon,0,18,2.25,3.31,0.0,0.03,0.23,0,3,3
BOT,LAT,Vitinho,0,29,5.49,6.06,0.0,0.12,0.13,2,1,3
PAL,MEI,Raphael Veiga,0,16,2.63,3.58,0.0,0.28,0.31,2,1,3
Clube 356,ATA,Deyverson,0,16,2.75,3.92,0.0,0.13,0.43,0,3,3
BOT,ZAG,David Ricardo,0,15,4.01,5.75,0.0,0.15,0.26,1,2,3
SAN,LAT,Igor Vinícius,0,18,4.44,5.48,0.0,0.22,0.18,2,0,2
Clube 356,MEI,Lucca Prior,0,8,3.41,4.79,0.0,0.12,0.46,0,2,2
FLU,ATA,Paulo Baya,0,13,1.91,2.66,0.0,0.11,0.15,1,1,2
