Clube,Pos,Nome,Status,Jogos,Média,M. Básica,Escanteios/Jogo,XA/Jogo,XG/Jogo,Assistências,Gols,G + A
COR,MEI,André,0,8,3.29,3.71,0.0,0.09,0.38,0,2,2
PAL,MEI,Richard Ríos,0,9,5.01,5.63,0.0,0.46,0.4,2,0,2
Clube 286,ATA,Matheus Babi,0,13,1.68,2.35,0.0,0.11,0.34,0,2,2
MIR,MEI,Danielzinho,0,33,2.92,3.02,0.0,0.26,0.32,2,0,2
Clube 286,ATA,Giovanny,0,15,1.81,2.31,0.0,0.23,0.18,2,0,2
VIT,LAT,Jamerson,0,11,5.15,5.65,0.0,0.25,0.12,2,0,2
CRU,ATA,Wanderson,0,22,1.9,2.41,0.0,0.16,0.14,2,0,2
SAN,ATA,Caballero,0,8,2.54,3.81,0.0,0.22,0.29,1,1,2
RBB,ATA,Thiago Borbas,0,8,1.61,3.75,0.0,0.2,0.27,1,1,2
Clube 292,ATA,Chrystian Barletta,0,29,2.92,3.37,0.0,0.11,0.27,0,2,2
Clube 286,MEI,Jadson,0,29,2.99,3.36,0.0,0.23,0.26,2,0,2
CAM,ATA,Biel,0,11,2.81,3.6,0.0,0.18,0.26,1,1,2
COR,MEI,José Martínez,0,16,1.89,3.38,0.0,0.22,0.31,1,1,2
BAH,ATA,Lucho Rodríguez,0,14,2.32,3.14,0.0,0.09,0.32,0,2,2
FLU,LAT,Guga,0,16,5.26,5.59,0.0,0.14,0.18,1,1,2
INT,ZAG,Vitão,0,19,2.7,4.58,0.0,0.11,0.02,2,0,2
FLU,ZAG,Thiago Silva,0,17,4.23,5.74,0.0,0.04,0.19,0,2,2
INT,MEI,Bruno Henrique,0,22,2.43,3.29,0.0,0.07,0.22,0,2,2
CAM,ATA,Cuello,0,15,4.22,4.64,0.0,0.25,0.38,1,1,2
Clube 356,LAT,Bruno Pacheco,0,13,4.76,4.76,0.0,0.24,0.32,1,1,2
Clube 356,ATA,Allanzinho,0,7,2.35,2.69,0.0,0.43,0.24,2,0,2
Clube 354,MEI,Matheus Araújo,0,6,2.1,3.2,0.0,0.22,0.25,1,1,2
COR,LAT,Matheus Bidu,0,25,5.45,5.66,0.0,0.34,0.41,2,0,2
PAL,LAT,Jefté,0,5,4.14,5.92,0.0,0.42,0.04,2,0,2
VIT,ATA,Osvaldo,0,17,1.71,2.64,0.0,0.22,0.17,2,0,2
COR,MEI,Carrillo,0,17,2.32,3.25,0.0,0.14,0.2,1,1,2
BAH,ZAG,David Duarte,0,22,3.19,3.84,0.0,0.08,0.12,1,1,2
VIT,MEI,Ronald Lopes,0,21,2.24,3.41,0.0,0.2,0.17,2,0,2
PAL,ZAG,Bruno Fuchs,0,20,4.93,5.99,0.0,0.12,0.15,1,1,2
Clube 292,MEI,Sérgio Oliveira,0,14,3.68,4.2,0.0,0.16,0.23,1,1,2
CAM,MEI,Gabriel Menino,0,14,2.64,3.76,0.0,0.17,0.24,1,1,2
SAO,MEI,Lucas Moura,0,10,3.51,3.51,0.0,0.11,0.4,0,2,2
Clube 286,LAT,Reginaldo,0,13,2.93,3.65,0.0,0.23,0.12,2,0,2
Clube 356,MEI,Emmanuel Martínez,0,8,2.06,3.35,0.0,0.24,0.3,1,1,2
INT,LAT,Bruno Gomes,0,12,5.06,5.53,0.0,0.26,0.15,2,0,2
SAO,ATA,Rigoni,0,6,2.06,3.58,0.0,0.22,0.28,1,1,2
FLA,ATA,Everton,0,17,2.28,2.81,0.0,0.09,0.15,1,1,2
PAL,LAT,Khellven,0,10,5.65,6.22,0.0,0.28,0.12,2,0,2
RBB,ZAG,Pedro Henrique,0,26,3.19,3.92,0.0,0.12,0.17,1,1,2
COR,ZAG,Cacá,0,15,3.42,4.5,0.0,0.11,0.31,0,2,2
CAM,ATA,Júnior Santos,0,10,1.96,3.27,0.0,0.14,0.43,0,2,2
Clube 354,LAT,Diego,0,30,5.12,5.12,0.0,0.28,0.33,2,0,2
BOT,ATA,Joaquín Correa,0,16,3.02,3.44,0.0,0.11,0.32,0,2,2
CAM,ZAG,Junior Alonso,0,24,4.13,4.84,0.0,0.08,0.12,1,1,2
VIT,ATA,Fabri,0,14,2.26,2.84,0.0,0.21,0.13,2,0,2
SAO,ZAG,Sabino,0,27,4.58,5.12,0.0,0.05,0.17,0,2,2
GRE,ATA,Arezo,0,6,2.81,3.9,0.0,0.2,0.23,1,1,2
INT,ZAG,Victor Gabriel,0,12,4.66,5.1,0.0,0.03,0.22,0,2,2
Clube 354,ZAG,Marllon,0,19,3.32,3.97,0.0,0.05,0.19,0,2,2
INT,ZAG,Mercado,0,12,3.37,3.74,0.0,0.14,0.18,1,1,2
COR,ATA,Talles Magno,0,20,2.73,3.34,0.0,0.23,0.35,1,1,2
Clube 354,ATA,Aylon,0,13,2.26,4.09,0.0,0.15,0.42,0,2,2
PAL,MEI,Andreas Pereira,0,8,2.95,4.29,0.0,0.09,0.42,0,2,2
BOT,LAT,Mateo Ponte,0,14,3.42,4.51,0.0,0.04,0.23,0,2,2
FLA,LAT,Emerson Royal,0,12,5.78,6.26,0.0,0.28,0.39,1,1,2
GRE,ZAG,Gustavo Martins,0,16,4.58,4.87,0.0,0.01,0.16,0,2,2
RBB,LAT,Guilherme Lopes,0,9,4.08,4.57,0.0,0.14,0.17,1,1,2
COR,MEI,Breno Bidon,0,30,3.39,3.88,0.0,0.31,0.46,1,1,2
BOT,MEI,Danilo,0,9,3.25,4.01,0.0,0.14,0.19,1,1,2
FLU,ATA,Everaldo,0,22,1.58,2.1,0.0,0.11,0.3,0,2,2
SAO,ATA,Ryan Francisco,0,5,2.69,3.76,0.0,0.1,0.57,0,2,2
VAS,ATA,GB,0,5,1.78,4.04,0.0,0.0,0.4,0,2,2
INT,MEI,Gustavo Prado,0,13,2.3,3.11,0.0,0.11,0.28,0,1,1
CAM,ZAG,Vitor Hugo,0,15,4.84,5.25,0.0,0.01,0.1,0,1,1
Clube 354,MEI,Vinícius Zanocelo,0,12,3.23,3.88,0.0,0.04,0.18,0,1,1
SAO,MEI,Luiz Gustavo,0,11,3.29,3.65,0.0,0.11,0.27,0,1,1
CRU,MEI,Eduardo,0,15,1.22,2.49,0.0,0.08,0.2,0,1,1
GRE,GOL,Tiago Volpi,0,26,4.01,4.72,0.0,0.03,0.09,0,1,1
FLU,MEI,Ganso,0,12,1.52,2.2,0.0,0.13,0.29,0,1,1
