CLUBE,POS,NOME,JOGOS,MÉDIA,M. BÁSICA,ESCANTEIOS/JOGO,XA/JOGO,XG/JOGO,ASSISTÊNCIAS,GOLS,G + A
Botafogo,ATA,Jeffinho,15,3.86,1.46,0.0,0.13,0.16,4,2,6
Bahia,MEI,Acevedo,30,3.86,3.69,0.0,0.1,0.02,1,0,1
Corinthians,ZAG,André Ramalho,21,3.85,3.85,0.0,0.01,0.03,0,0,0
Bahia,MEI,Everton Ribeiro,30,3.85,2.65,0.0,0.26,0.1,3,2,5
Vasco,GOL,Léo Jardim,33,3.81,3.81,0.0,0.0,0.0,0,0,0
Botafogo,ATA,Chris Ramos,11,3.81,1.63,0.0,0.1,0.45,0,4,4
,ZAG,Willian Machado,33,3.78,3.63,0.0,0.01,0.02,0,0,0
Vasco,ZAG,Carlos Cuesta,12,3.72,3.05,0.0,0.01,0.06,0,1,1
Grêmio,MEI,Arthur Melo,12,3.71,3.71,0.0,0.05,0.06,0,0,0
Flamengo,MEI,Saúl,15,3.71,3.37,0.0,0.11,0.11,2,0,2
Botafogo,MEI,Savarino,25,3.71,2.15,0.0,0.25,0.2,3,4,7
,ATA,Edison Negueba,5,3.7,2.1,0.0,0.03,0.08,0,0,0
,ZAG,Kuscevic,18,3.69,3.24,0.0,0.0,0.07,0,1,1
Bragantino,ATA,Laquintana,22,3.69,1.55,0.0,0.16,0.14,3,4,7
,MEI,Lucas Lima,30,3.69,1.96,0.0,0.05,0.09,0,0,0
Corinthians,MEI,Garro,19,3.67,2.88,0.0,0.3,0.1,3,0,3
,MEI,Sérgio Oliveira,16,3.67,2.86,0.0,0.14,0.1,1,1,2
Corinthians,ZAG,João Pedro,16,3.66,3.34,0.0,0.01,0.03,1,0,1
Flamengo,ZAG,Danilo,19,3.62,3.2,0.0,0.04,0.06,1,1,2
Flamengo,MEI,Jorginho,17,3.61,1.9,0.0,0.04,0.2,1,3,4
Vitória,ZAG,Edu,19,3.61,3.61,0.0,0.03,0.02,0,0,0
,ATA,Léo Pereira,20,3.6,2.55,0.0,0.02,0.09,0,4,4
Bahia,LAT,Santiago Arias,20,3.6,3.6,0.0,0.04,0.04,0,0,0
Cruzeiro,LAT,Kauã Prates,8,3.59,3.59,0.0,0.01,0.0,0,0,0
Santos,LAT,JP Chermont,6,3.57,3.57,0.0,0.29,0.02,0,0,0
Palmeiras,ZAG,Micael,12,3.57,3.15,0.0,0.01,0.02,1,0,1
,LAT,Rafael Ramos,20,3.55,3.55,0.0,0.06,0.02,0,0,0
Corinthians,ZAG,Félix Torres,10,3.54,3.54,0.0,0.01,0.03,0,0,0
Vasco,ZAG,João Victor,15,3.54,3.01,0.0,0.0,0.02,0,0,0
Fluminense,ZAG,Igor Rabello,8,3.54,3.54,0.0,0.0,0.0,0,0,0
Mirassol,ATA,Renato Marques,5,3.52,1.92,0.0,0.0,0.56,0,0,0
Bragantino,LAT,Andrés Hurtado,26,3.52,3.22,0.0,0.03,0.02,0,1,1
São Paulo,MEI,Lucas Moura,10,3.51,1.91,0.0,0.14,0.3,0,2,2
Grêmio,ATA,Amuzu,21,3.49,1.87,0.0,0.17,0.16,2,4,6
Vitória,ZAG,Camutanga,13,3.46,3.46,0.0,0.0,0.03,0,0,0
Grêmio,LAT,Lucas Esteves,10,3.45,3.45,0.0,0.03,0.02,0,0,0
,LAT,Nicolas,12,3.45,3.45,0.0,,,0,0,0
Internacional,MEI,Bruno Tabata,24,3.43,2.23,0.0,0.1,0.25,0,3,3
Corinthians,ZAG,Cacá,19,3.42,2.57,0.0,0.02,0.07,0,2,2
Botafogo,LAT,Mateo Ponte,18,3.42,2.53,0.0,0.09,0.17,0,1,1
,MEI,Lucca Prior,11,3.41,1.95,0.0,0.18,0.09,0,2,2
Atlético-MG,LAT,Saravia,13,3.41,3.41,0.0,0.01,0.02,0,0,0
Atlético-MG,ATA,Dudu,16,3.41,1.59,0.0,0.02,0.26,0,1,1
Bahia,ZAG,Kanu,7,3.4,3.4,0.0,0.02,0.0,0,0,0
Corinthians,GOL,Hugo Souza,26,3.4,3.4,0.0,0.0,0.0,0,0,0
Corinthians,MEI,Breno Bidon,33,3.39,3.0,0.0,0.08,0.03,1,1,2
Flamengo,ATA,Bruno Henrique,30,3.38,1.78,0.0,0.06,0.36,0,8,8
Grêmio,LAT,João Lucas,9,3.37,3.37,0.0,0.09,0.02,0,0,0
Internacional,ZAG,Mercado,13,3.37,2.37,0.0,0.03,0.08,0,0,0
Palmeiras,MEI,Lucas Evangelista,19,3.36,2.26,0.0,0.05,0.1,1,2,3
Palmeiras,MEI,Allan,24,3.35,2.39,0.0,0.09,0.14,3,1,4
Grêmio,ATA,Pavón,25,3.34,2.14,0.0,0.13,0.04,2,1,3
Mirassol,MEI,Neto Moura,31,3.33,3.07,0.0,0.01,0.01,0,1,1
Fluminense,ZAG,Ignácio,19,3.33,3.33,0.0,0.05,0.02,0,0,0
Santos,ATA,Lautaro Díaz,20,3.33,1.63,0.0,0.21,0.33,2,3,5
Botafogo,MEI,Barrera,5,3.32,1.72,0.0,0.19,0.68,0,0,0
,LAT,Diogo Barbosa,16,3.32,2.82,0.0,0.08,0.06,0,1,1
,ZAG,Marllon,22,3.32,2.59,0.0,0.41,0.0,0,0,0
,GOL,Brenno,13,3.31,3.31,0.0,0.0,0.0,0,0,0
Vasco,LAT,Puma Rodríguez,23,3.3,2.52,0.0,0.0,0.04,0,1,1
,MEI,Lucas Mugni,30,3.3,2.1,0.0,0.18,0.11,5,2,7
Corinthians,MEI,André,9,3.29,1.51,0.0,0.01,0.18,0,1,1
Atlético-MG,MEI,Gustavo Scarpa,30,3.29,2.26,0.0,0.18,0.09,3,1,4
São Paulo,MEI,Luiz Gustavo,12,3.29,2.62,0.0,0.09,0.08,0,1,1
Atlético-MG,ZAG,Iván Román,10,3.28,3.28,0.0,0.0,0.06,0,0,0
,MEI,Peixoto,11,3.28,2.55,0.0,0.01,0.08,0,1,1
Internacional,GOL,Rochet,15,3.26,3.26,0.0,0.0,0.0,0,0,0
São Paulo,LAT,Cédric Soares,25,3.25,2.65,0.0,0.11,0.02,3,0,3
