Clube,Jogador,Status,3 Jogos,5 Jogos,MAX 3,MAX 5,Últimos 3 Jogos (%),% D
MIR,Edson Carioca ATA,0,5.27,4.08,3,5,66.67,85.0
VIT,Cantalapiedra ATA,0,5.27,4.64,3,5,100.0,94.1
INT,Bernabéi LAT,0,5.27,4.86,3,5,100.0,100.0
Clube 354,Vinícius Zanocelo MEI,0,5.27,3.86,3,5,100.0,85.7
FLU,Keno ATA,0,5.23,5.7,3,5,33.33,68.8
VIT,Renato Kayzer ATA,0,5.23,3.76,3,5,100.0,92.9
INT,Alan Rodríguez MEI,0,5.2,4.1,3,5,100.0,86.7
VIT,Paulo Roberto LAT,0,5.2,5.2,2,2,66.67,100.0
INT,Fernando MEI,0,5.2,4.2,3,4,66.67,66.7
SAN,Cleber Xavier TEC,0,5.18,4.89,3,5,100.0,93.3
Clube 286,Edison Negueba ATA,0,5.17,4.62,3,4,100.0,80.0
FLU,Hércules MEI,0,5.17,4.14,3,5,33.33,68.8
BOT,Montoro MEI,0,5.17,5.34,3,5,100.0,100.0
MIR,Renato Marques ATA,0,5.13,4.4,3,4,66.67,80.0
GRE,Wagner Leonardo ZAG,0,5.13,5.62,3,5,100.0,77.8
GRE,João Pedro LAT,0,5.1,4.3,3,5,66.67,71.4
Clube 286,Gustavo GOL,0,5.1,4.28,3,5,66.67,90.0
COR,Orlando Ribeiro TEC,0,5.1,5.1,2,2,66.67,100.0
BOT,Cuiabano LAT,0,5.1,6.68,3,5,100.0,100.0
SAN,JP Chermont LAT,0,5.07,4.48,3,5,66.67,83.3
MIR,Carlos Eduardo ATA,0,5.07,4.04,3,5,100.0,82.6
RBB,Eduardo Sasha ATA,0,5.07,4.22,3,5,66.67,76.7
Clube 286,Gabriel Taliari ATA,0,5.03,8.24,3,5,100.0,87.5
Clube 292,João Silva ZAG,0,5.03,4.06,3,5,0.0,57.1
CRU,Janderson ZAG,0,5.0,5.0,1,1,33.33,100.0
Clube 292,Antônio Carlos ZAG,0,5.0,5.0,1,1,33.33,33.3
GRE,Viery ZAG,0,5.0,5.0,1,1,33.33,33.3
BOT,Marquinhos ZAG,0,5.0,5.0,1,1,33.33,100.0
VIT,Maykon LAT,0,5.0,4.08,3,5,100.0,100.0
MIR,Luiz Otávio ZAG,0,5.0,5.0,1,1,33.33,25.0
VIT,Edu ZAG,0,4.97,4.06,3,5,100.0,84.2
SAN,João Basso ZAG,0,4.97,4.0,3,5,100.0,100.0
BOT,Savarino MEI,0,4.97,3.76,3,5,66.67,80.0
CAM,Ruan ZAG,0,4.97,5.5,3,5,100.0,100.0
BOT,Nathan Fernandes ATA,0,4.93,4.7,3,5,100.0,77.8
SAO,Rodriguinho MEI,0,4.93,3.74,3,5,66.67,66.7
PAL,Facundo Torres ATA,0,4.9,5.74,3,5,33.33,77.8
MIR,Jemmes ZAG,0,4.9,4.08,3,5,100.0,94.1
COR,Raniele MEI,0,4.9,3.42,3,5,100.0,93.3
COR,Ramón Díaz TEC,0,4.89,4.36,3,5,100.0,100.0
MIR,José Aldo MEI,0,4.87,3.74,3,5,66.67,75.0
BAH,Lucho Rodríguez ATA,0,4.87,3.58,3,5,100.0,77.8
FLU,Arias MEI,0,4.87,4.02,3,5,100.0,100.0
INT,Juninho ZAG,0,4.83,5.72,3,5,0.0,65.0
FLA,Rossi GOL,0,4.83,4.34,3,5,66.67,88.6
Clube 354,Nicolas LAT,0,4.83,4.76,3,5,100.0,91.7
CAM,Everson GOL,0,4.83,8.08,3,5,100.0,90.0
VIT,Claudinho LAT,0,4.83,4.46,3,5,33.33,60.0
FLU,Renato Gaúcho TEC,0,4.82,5.2,3,5,100.0,91.3
PAL,Lucas Evangelista MEI,0,4.77,4.98,3,5,66.67,73.7
FLA,Léo Pereira ZAG,0,4.77,4.96,3,5,100.0,90.6
SAO,Maílton LAT,0,4.77,4.58,3,5,100.0,87.5
FLU,John Kennedy ATA,0,4.73,3.6,3,5,100.0,80.0
INT,Bruno Gomes LAT,0,4.73,4.14,3,5,100.0,92.3
Clube 286,Luan Freitas ZAG,0,4.7,4.84,3,5,66.67,92.3
Clube 356,José Welison MEI,0,4.7,3.1,3,5,66.67,66.7
Clube 286,Marcão GOL,0,4.7,4.82,3,5,100.0,100.0
SAO,Matheus Alves MEI,0,4.7,3.46,3,5,33.33,71.4
Clube 286,Ênio ATA,0,4.67,3.16,3,5,66.67,83.3
VIT,Matheuzinho MEI,0,4.67,4.84,3,5,100.0,88.9
BOT,Davide Ancelotti TEC,0,4.67,5.35,3,5,100.0,92.3
CRU,Villalba ZAG,0,4.67,5.28,3,5,100.0,90.6
Clube 354,Pedro Raul ATA,0,4.63,4.38,3,5,100.0,87.1
RBB,Lucão GOL,0,4.63,5.7,3,4,100.0,100.0
SAN,Luan Peres ZAG,0,4.6,3.5,3,5,100.0,95.8
FLA,Danilo ZAG,0,4.6,4.54,3,5,100.0,78.9
FLA,Viña LAT,0,4.6,4.06,3,5,33.33,75.0
SAO,Tapia ATA,0,4.57,5.18,3,5,100.0,90.0
PAL,Murilo ZAG,0,4.57,5.06,3,5,100.0,87.5
SAO,Wendell LAT,0,4.57,6.58,3,5,100.0,86.7
BOT,Artur ATA,0,4.57,6.62,3,5,100.0,88.0
PAL,Ramón Sosa ATA,0,4.57,3.1,3,5,66.67,76.2
INT,Alan Patrick MEI,0,4.57,7.26,3,5,100.0,96.7
CAM,Caio Paulista LAT,0,4.57,3.14,3,5,100.0,87.5
INT,Wesley ATA,0,4.53,3.3,3,5,100.0,100.0
RBB,Alix Vinicius ZAG,0,4.53,2.78,3,5,100.0,62.5
Clube 356,Deyverson ATA,0,4.53,3.98,3,5,66.67,72.7
RBB,Vagner Mancini TEC,0,4.51,4.27,3,5,33.33,62.5
SAO,Dinenno ATA,0,4.5,3.14,3,5,33.33,62.5
SAO,Rigoni ATA,0,4.5,3.46,3,5,66.67,60.0
GRE,Dodi MEI,0,4.5,2.9,3,5,66.67,69.0
CAM,Iván Román ZAG,0,4.47,2.9,3,5,100.0,90.0
BOT,Santiago Rodríguez MEI,0,4.43,3.84,3,5,66.67,87.5
RBB,Lucas Barbosa ATA,0,4.4,3.78,3,5,100.0,83.9
CAM,Gabriel Menino MEI,0,4.4,5.36,3,5,33.33,73.7
PAL,Gustavo Gómez ZAG,0,4.4,5.7,3,5,100.0,84.0
RBB,Davi Gomes ATA,0,4.4,3.42,3,4,33.33,66.7
Clube 356,Vinicius Silvestre GOL,0,4.4,4.4,2,2,66.67,100.0
COR,Dieguinho MEI,0,4.4,3.28,3,5,100.0,84.6
CAM,Lucas Gonçalves TEC,0,4.39,4.39,1,1,33.33,100.0
VAS,Philippe Coutinho MEI,0,4.37,3.36,3,5,66.67,92.9
GRE,James Freitas TEC,0,4.35,4.35,1,1,33.33,100.0
CAM,Alan Franco MEI,0,4.33,4.94,3,5,100.0,80.8
Clube 292,Pedro Augusto MEI,0,4.33,4.24,3,5,66.67,64.3
PAL,Allan MEI,0,4.33,4.02,3,5,100.0,83.3
RBB,Fabinho MEI,0,4.33,3.2,3,5,100.0,77.8
Clube 286,Alan Ruschel LAT,0,4.33,3.5,3,5,33.33,55.6
INT,Thiago Maia MEI,0,4.33,2.94,3,5,66.67,76.7
COR,Vitinho ATA,0,4.3,4.48,3,5,100.0,91.7
CAM,Biel ATA,0,4.27,3.36,3,5,100.0,78.6
COR,Garro MEI,0,4.27,4.48,3,5,100.0,89.5
VAS,Fernando Diniz TEC,0,4.26,3.07,3,5,100.0,93.5
BOT,Kaio ZAG,0,4.23,5.48,3,5,66.67,77.8
COR,Dorival Júnior TEC,0,4.22,4.24,3,5,100.0,100.0
MIR,Neto Moura MEI,0,4.2,5.2,3,5,0.0,80.6
Clube 356,Calebe MEI,0,4.2,3.18,3,5,66.67,71.4
VIT,Fabri ATA,0,4.2,3.26,3,5,66.67,82.4
Clube 292,Rafinha ZAG,0,4.2,4.2,1,1,33.33,100.0
FLU,Ignácio ZAG,0,4.17,3.62,3,5,100.0,78.9
SAN,Gabriel Bontempo MEI,0,4.13,3.12,3,5,33.33,68.0
Clube 286,Fábio Matias TEC,0,4.12,3.94,3,5,100.0,100.0
Clube 292,Pepa TEC,0,4.11,3.8,3,5,100.0,100.0
BAH,Tiago ATA,0,4.07,4.06,3,5,66.67,78.3
Clube 286,Rodrigo Sam ZAG,0,4.03,3.32,3,5,100.0,87.5
BOT,Igor Jesus ATA,0,4.03,5.56,3,5,100.0,100.0
COR,Kayke ATA,0,4.03,2.82,3,5,66.67,62.5
COR,Matheus Bidu LAT,0,4.0,3.92,3,5,100.0,96.2
CAM,Cuca TEC,0,4.0,4.48,3,5,100.0,90.5
SAN,Barreal MEI,0,4.0,6.02,3,5,100.0,93.9
Clube 292,Sérgio Oliveira MEI,0,4.0,4.06,3,5,33.33,87.5
PAL,Giay LAT,0,4.0,3.58,3,5,100.0,96.2
GRE,Lucas Esteves LAT,0,4.0,5.64,3,5,100.0,80.0
Clube 292,Hereda LAT,0,4.0,5.6,3,5,66.67,90.9
VAS,Mauricio Lemos ZAG,0,4.0,4.0,2,2,33.33,50.0
Clube 286,Caíque MEI,0,4.0,3.76,3,5,66.67,84.6
BAH,Kanu ZAG,0,3.97,4.28,3,5,100.0,85.7
PAL,Richard Ríos MEI,0,3.97,4.74,3,5,66.67,90.0
MIR,Gabriel Knesowitsch ZAG,0,3.97,4.72,3,4,100.0,100.0
COR,Matheus Donelli GOL,0,3.97,4.03,3,4,66.67,80.0
BAH,Erick Pulga ATA,0,3.93,5.58,3,5,100.0,92.0
GRE,João Lucas LAT,0,3.93,4.6,3,5,100.0,88.9
VAS,David ATA,0,3.9,2.72,3,5,66.67,40.9
CRU,Lucas Romero MEI,0,3.9,3.06,3,5,100.0,100.0
RBB,Palacios ZAG,0,3.9,3.9,1,1,33.33,50.0
CAM,Patrick MEI,0,3.9,3.9,2,2,66.67,66.7
BOT,Renato Paiva TEC,0,3.9,3.53,3,5,100.0,89.5
FLA,Michael ATA,0,3.9,4.54,3,5,66.67,69.2
SAN,Diógenes GOL,0,3.9,3.9,1,1,33.33,100.0
VAS,Nuno Moreira ATA,0,3.9,3.56,3,5,66.67,87.9
VIT,Romarinho ATA,0,3.9,3.9,2,2,33.33,40.0
PAL,Weverton GOL,0,3.87,4.1,3,5,100.0,76.9
PAL,Mayke LAT,0,3.87,2.96,3,5,100.0,100.0
COR,André MEI,0,3.87,3.36,3,5,100.0,88.9
PAL,Estêvão ATA,0,3.87,4.4,3,5,66.67,90.9
Clube 292,Derik Lacerda ATA,0,3.87,3.12,3,5,100.0,100.0
VIT,Thiago Carpini TEC,0,3.82,4.3,3,5,100.0,96.9
BOT,Arthur Cabral ATA,0,3.8,3.4,3,5,100.0,85.0
SAO,Ferreira ATA,0,3.8,5.3,3,5,66.67,85.2
PAL,Raphael Veiga MEI,0,3.77,3.26,3,5,66.67,76.2
Clube 286,Adriano Martins ZAG,0,3.73,3.73,3,3,33.33,60.0
VIT,Léo Pereira ATA,0,3.73,6.56,3,5,100.0,95.0
INT,Roger Machado TEC,0,3.7,4.37,3,5,100.0,95.7
PAL,Marcelo Lomba GOL,0,3.7,3.7,2,2,66.67,100.0
SAO,Calleri ATA,0,3.7,3.7,1,1,33.33,33.3
RBB,Vinicinho ATA,0,3.7,3.58,3,5,100.0,86.4
RBB,Thiago Borbas ATA,0,3.67,3.8,3,5,0.0,47.1
FLU,Manoel ZAG,0,3.67,3.08,3,4,66.67,80.0
Clube 292,Gabriel GOL,0,3.67,3.06,3,5,66.67,90.5
Clube 292,Rivera MEI,0,3.67,2.68,3,5,66.67,86.7
Clube 356,Yago Pikachu MEI,0,3.67,2.7,3,5,33.33,60.7
BAH,Willian José ATA,0,3.67,7.68,3,5,66.67,83.9
FLA,Evertton Araújo MEI,0,3.67,2.48,3,5,33.33,73.3
Clube 354,Vina MEI,0,3.67,3.28,3,5,0.0,53.3
SAO,Luiz Gustavo MEI,0,3.63,2.58,3,5,100.0,91.7
COR,José Martínez MEI,0,3.63,2.92,3,5,33.33,66.7
Clube 354,Lucas Mugni MEI,0,3.6,4.14,3,5,100.0,76.7
INT,Anthoni GOL,0,3.6,2.6,3,5,66.67,72.2
PAL,Bruno Rodrigues ATA,0,3.6,3.6,3,3,66.67,50.0
COR,Hugo LAT,0,3.6,3.78,3,5,100.0,80.0
FLA,Alex Sandro LAT,0,3.6,4.5,3,5,66.67,90.0
Clube 354,Bruno Tubarão LAT,0,3.6,3.95,3,4,33.33,57.1
GRE,Gustavo Quinteros TEC,0,3.58,3.58,3,3,100.0,100.0
CAM,Lyanco ZAG,0,3.57,4.02,3,5,100.0,100.0
VAS,GB ATA,0,3.57,4.04,3,5,0.0,45.5
CAM,Rômulo ZAG,0,3.55,3.55,2,2,66.67,66.7
BOT,Neto GOL,0,3.55,3.55,2,2,66.67,66.7
CAM,João Marcelo ATA,0,3.53,2.85,3,4,33.33,57.1
VIT,Ronald Lopes MEI,0,3.5,3.7,3,5,33.33,72.4
SAO,Alan Franco ZAG,0,3.5,5.18,3,5,66.67,71.4
FLU,Isaque MEI,0,3.5,3.5,1,1,33.33,100.0
BAH,Jean Lucas MEI,0,3.5,3.66,3,5,100.0,93.8
Clube 356,Allanzinho ATA,0,3.5,3.34,3,5,66.67,87.5
CRU,Sinisterra ATA,0,3.5,4.9,3,5,100.0,81.8
VIT,Pepê MEI,0,3.47,5.02,3,5,66.67,57.1
VIT,Camutanga ZAG,0,3.47,5.16,3,5,100.0,92.3
SAO,Lucas Moura MEI,0,3.47,3.18,3,5,100.0,100.0
