Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Unnamed: 34,Unnamed: 35,MP.1,Clube
Juninho,br BRA,FW,29-006,15.0,2,378.0,4.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.5,2.5,0.2,2.7,0.0,4.0,25.0,0.24,0.0,0.24,0.24,0.24,0.59,0.05,0.65,0.59,0.65,Matches,Flamengo,https://fbref.com/en/squads/639950ae/Flamengo-Stats,,Flamengo
Matías Viña,uy URU,DF,28-018,8.0,2,281.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2,0.3,9.0,13.0,17.0,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.08,0.01,0.08,Matches,Flamengo,https://fbref.com/en/squads/639950ae/Flamengo-Stats,,Flamengo
João Victor,br BRA,DF,18-330,3.0,2,104.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches,Flamengo,https://fbref.com/en/squads/639950ae/Flamengo-Stats,,Flamengo
Cleiton,br BRA,DF,22-216,2.0,0,79.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Flamengo,https://fbref.com/en/squads/639950ae/Flamengo-Stats,,Flamengo
Matheus Gonçalves,br BRA,FW,20-101,4.0,0,69.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,2.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.08,0.04,0.08,Matches,Flamengo,https://fbref.com/en/squads/639950ae/Flamengo-Stats,,Flamengo
Douglas Telles,br BRA,MF,18-179,1.0,0,12.0,0.1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.0,0.0,4.0,7.5,0.0,7.5,7.5,7.5,2.26,0.0,2.26,2.26,2.26,Matches,Flamengo,https://fbref.com/en/squads/639950ae/Flamengo-Stats,,Flamengo
Victor Hugo,br BRA,MF,21-200,1.0,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Flamengo,https://fbref.com/en/squads/639950ae/Flamengo-Stats,,Flamengo
Dyogo Alves,br BRA,GK,21-322,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Flamengo,https://fbref.com/en/squads/639950ae/Flamengo-Stats,,Flamengo
João Alves,br BRA,MF,20-243,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Flamengo,https://fbref.com/en/squads/639950ae/Flamengo-Stats,,Flamengo
Matheus Cunha,br BRA,GK,24-187,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Flamengo,https://fbref.com/en/squads/639950ae/Flamengo-Stats,,Flamengo
Bruno Fernandes Xavier,br BRA,MF,18-236,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Flamengo,https://fbref.com/en/squads/639950ae/Flamengo-Stats,,Flamengo
Johnny Góes,br BRA,DF,18-245,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Flamengo,https://fbref.com/en/squads/639950ae/Flamengo-Stats,,Flamengo
Guilherme,br BRA,MF,19-298,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Flamengo,https://fbref.com/en/squads/639950ae/Flamengo-Stats,,Flamengo
Iago,br BRA,DF,20-223,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Flamengo,https://fbref.com/en/squads/639950ae/Flamengo-Stats,,Flamengo
Joshua,br BRA,MF,18-185,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Flamengo,https://fbref.com/en/squads/639950ae/Flamengo-Stats,,Flamengo
Lorran,br BRA,FW,19-146,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Flamengo,https://fbref.com/en/squads/639950ae/Flamengo-Stats,,Flamengo
Lucio,br BRA,MF,18-229,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Flamengo,https://fbref.com/en/squads/639950ae/Flamengo-Stats,,Flamengo
Leonardo Nannetti Lopes,br BRA,GK,18-098,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Flamengo,https://fbref.com/en/squads/639950ae/Flamengo-Stats,,Flamengo
Daniel Sales,br BRA,DF,19-157,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Flamengo,https://fbref.com/en/squads/639950ae/Flamengo-Stats,,Flamengo
Ogundana Shola,ng NGA,FW,20-278,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Flamengo,https://fbref.com/en/squads/639950ae/Flamengo-Stats,,Flamengo
Joaquín Piquerez,uy URU,DF,27-095,,27,2412.0,26.8,3.0,1.0,4.0,1.0,2.0,3.0,2.0,1.0,3.2,0.8,3.2,4.0,32.0,142.0,155.0,0.11,0.04,0.15,0.04,0.07,0.12,0.12,0.24,0.03,0.15,Matches,Palmeiras,https://fbref.com/en/squads/abdce579/Palmeiras-Stats,29.0,Palmeiras
Wéverton,br BRA,GK,37-349,,26,2340.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,Palmeiras,https://fbref.com/en/squads/abdce579/Palmeiras-Stats,26.0,Palmeiras
Gustavo Gómez,py PAR,DF,32-205,,25,2220.0,24.7,2.0,1.0,3.0,2.0,0.0,0.0,7.0,0.0,2.3,2.3,1.0,3.3,9.0,66.0,15.0,0.08,0.04,0.12,0.08,0.12,0.09,0.04,0.13,0.09,0.13,Matches,Palmeiras,https://fbref.com/en/squads/abdce579/Palmeiras-Stats,26.0,Palmeiras
