Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,Matches,Unnamed: 34,Unnamed: 35,MP.1,Clube
Kayke,br BRA,"MF,FW",21-213,,3,259.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,11.0,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.01,0.02,Matches,Corinthians,https://fbref.com/en/squads/bf4acd28/Corinthians-Stats,6.0,Corinthians
Héctor,es ESP,"FW,MF",30-074,,3,246.0,2.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.5,0.1,0.6,0.0,0.0,13.0,0.37,0.0,0.37,0.37,0.37,0.19,0.02,0.21,0.19,0.21,Matches,Corinthians,https://fbref.com/en/squads/bf4acd28/Corinthians-Stats,9.0,Corinthians
Léo Mana,br BRA,DF,21-235,,3,225.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,Corinthians,https://fbref.com/en/squads/bf4acd28/Corinthians-Stats,4.0,Corinthians
Dieguinho,br BRA,"DF,FW",18-134,,2,259.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.1,0.7,16.0,12.0,41.0,0.0,0.0,0.0,0.0,0.0,0.2,0.03,0.23,0.2,0.23,Matches,Corinthians,https://fbref.com/en/squads/bf4acd28/Corinthians-Stats,10.0,Corinthians
Alex Santana,br BRA,MF,30-198,,1,106.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.09,0.09,0.09,Matches,Corinthians,https://fbref.com/en/squads/bf4acd28/Corinthians-Stats,3.0,Corinthians
Bahia,br BRA,MF,19-329,,1,49.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.39,0.0,0.39,0.39,0.39,Matches,Corinthians,https://fbref.com/en/squads/bf4acd28/Corinthians-Stats,2.0,Corinthians
André,br BRA,"MF,FW",19-160,,0,183.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,1.0,4.0,7.0,0.49,0.0,0.49,0.49,0.49,0.18,0.01,0.19,0.18,0.19,Matches,Corinthians,https://fbref.com/en/squads/bf4acd28/Corinthians-Stats,6.0,Corinthians
Gabriel Caipira,br BRA,DF,20-285,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Corinthians,https://fbref.com/en/squads/bf4acd28/Corinthians-Stats,0.0,Corinthians
Jacaré,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Corinthians,https://fbref.com/en/squads/bf4acd28/Corinthians-Stats,0.0,Corinthians
Kauê Junior,br BRA,FW,16-273,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Corinthians,https://fbref.com/en/squads/bf4acd28/Corinthians-Stats,0.0,Corinthians
Kauê,br BRA,GK,21-292,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Corinthians,https://fbref.com/en/squads/bf4acd28/Corinthians-Stats,0.0,Corinthians
Diego Palacios,ec ECU,DF,26-138,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Corinthians,https://fbref.com/en/squads/bf4acd28/Corinthians-Stats,0.0,Corinthians
Éverson,br BRA,GK,35-128,,33,2970.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.3,0.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,33.0,Atlético Mineiro
Júnior Alonso,py PAR,DF,32-291,,28,2398.0,26.6,0.0,1.0,1.0,0.0,0.0,0.0,5.0,2.0,0.4,0.4,0.2,0.6,26.0,153.0,18.0,0.0,0.04,0.04,0.0,0.04,0.02,0.01,0.02,0.02,0.02,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,28.0,Atlético Mineiro
Alan Franco,ec ECU,MF,27-098,,27,2358.0,26.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.4,0.4,0.2,0.6,8.0,82.0,15.0,0.04,0.0,0.04,0.04,0.04,0.02,0.01,0.02,0.02,0.02,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,27.0,Atlético Mineiro
Rony,br BRA,"FW,MF",30-200,,27,2355.0,26.2,6.0,4.0,10.0,6.0,0.0,0.0,4.0,1.0,8.2,8.2,2.0,10.1,37.0,35.0,179.0,0.23,0.15,0.38,0.23,0.38,0.31,0.08,0.39,0.31,0.39,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,33.0,Atlético Mineiro
Hulk,br BRA,"FW,MF",39-125,,25,2256.0,25.1,7.0,5.0,12.0,6.0,1.0,1.0,9.0,0.0,4.8,4.0,4.3,8.2,40.0,54.0,146.0,0.28,0.2,0.48,0.24,0.44,0.19,0.17,0.36,0.16,0.33,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,30.0,Atlético Mineiro
Gustavo Scarpa,br BRA,"MF,FW",31-326,,24,2159.0,24.0,1.0,3.0,4.0,1.0,0.0,0.0,3.0,0.0,2.1,2.1,4.3,6.4,49.0,174.0,117.0,0.04,0.13,0.17,0.04,0.17,0.09,0.18,0.26,0.09,0.26,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,33.0,Atlético Mineiro
Natanael,br BRA,DF,23-326,,24,2142.0,23.8,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.6,0.6,0.9,1.5,19.0,63.0,117.0,0.04,0.0,0.04,0.04,0.04,0.03,0.04,0.06,0.03,0.06,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,34.0,Atlético Mineiro
Igor Gomes,br BRA,"MF,FW",26-255,,18,1554.0,17.3,4.0,2.0,6.0,4.0,0.0,0.0,3.0,1.0,2.5,2.5,1.5,4.0,17.0,107.0,52.0,0.23,0.12,0.35,0.23,0.35,0.14,0.09,0.23,0.14,0.23,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,31.0,Atlético Mineiro
Guilherme Arana,br BRA,DF,28-227,,17,1485.0,16.5,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,1.4,1.4,1.6,3.0,45.0,91.0,127.0,0.06,0.06,0.12,0.06,0.12,0.09,0.1,0.18,0.09,0.18,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,22.0,Atlético Mineiro
Lyanco,br BRA,DF,28-299,,17,1410.0,15.7,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.6,0.6,0.1,0.7,11.0,62.0,1.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,17.0,Atlético Mineiro
Vitor Hugo,br BRA,DF,34-191,,17,1390.0,15.4,3.0,0.0,3.0,3.0,0.0,0.0,3.0,1.0,1.2,1.2,0.2,1.4,4.0,45.0,1.0,0.19,0.0,0.19,0.19,0.19,0.08,0.01,0.09,0.08,0.09,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,20.0,Atlético Mineiro
Fausto Vera,ar ARG,MF,25-246,,15,1127.0,12.5,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.6,0.6,1.0,1.6,15.0,61.0,10.0,0.08,0.0,0.08,0.08,0.08,0.05,0.08,0.12,0.05,0.12,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,18.0,Atlético Mineiro
Tomás Cuello,ar ARG,"FW,MF",25-267,,14,1190.0,13.2,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,2.2,2.2,1.0,3.3,64.0,68.0,154.0,0.08,0.08,0.15,0.08,0.15,0.17,0.08,0.25,0.17,0.25,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,15.0,Atlético Mineiro
Rubens,br BRA,"MF,DF",24-159,,11,1033.0,11.5,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.5,1.5,0.3,1.8,13.0,48.0,39.0,0.09,0.0,0.09,0.09,0.09,0.13,0.03,0.16,0.13,0.16,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,13.0,Atlético Mineiro
Dudu,br BRA,"MF,FW",33-324,,11,791.0,8.8,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,1.1,1.1,2.6,3.6,38.0,35.0,95.0,0.11,0.23,0.34,0.11,0.34,0.12,0.29,0.41,0.12,0.41,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,15.0,Atlético Mineiro
Bernard,br BRA,"MF,FW",33-080,,10,1000.0,11.1,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,2.0,2.0,1.9,3.9,39.0,59.0,82.0,0.09,0.09,0.18,0.09,0.18,0.18,0.17,0.35,0.18,0.35,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,27.0,Atlético Mineiro
Renzo Saravia,ar ARG,DF,32-164,,10,912.0,10.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.1,0.2,12.0,23.0,12.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.02,0.02,0.02,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,16.0,Atlético Mineiro
Caio Paulista,br BRA,"DF,MF",27-200,,10,885.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.8,0.8,0.5,1.3,26.0,40.0,68.0,0.0,0.0,0.0,0.0,0.0,0.09,0.05,0.13,0.09,0.13,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,20.0,Atlético Mineiro
Gabriel Menino,br BRA,"MF,DF",25-059,,9,858.0,9.5,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.9,0.9,0.9,1.8,27.0,69.0,28.0,0.1,0.1,0.21,0.1,0.21,0.09,0.09,0.19,0.09,0.19,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,20.0,Atlético Mineiro
Iván Román,cl CHI,DF,19-138,,8,701.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.5,0.5,0.0,0.5,4.0,34.0,2.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,12.0,Atlético Mineiro
Alexsander,br BRA,MF,22-050,,7,738.0,8.2,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.6,0.6,0.3,0.9,14.0,45.0,13.0,0.12,0.0,0.12,0.12,0.12,0.08,0.04,0.11,0.08,0.11,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,12.0,Atlético Mineiro
Biel,br BRA,"FW,MF",24-240,,6,570.0,6.3,1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,1.8,1.8,2.4,4.2,25.0,15.0,62.0,0.16,0.32,0.47,0.16,0.47,0.28,0.38,0.66,0.28,0.66,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,16.0,Atlético Mineiro
Ruan,br BRA,DF,26-173,,5,631.0,7.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.1,0.1,0.0,0.1,2.0,11.0,1.0,0.14,0.0,0.14,0.14,0.14,0.01,0.0,0.01,0.01,0.01,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,8.0,Atlético Mineiro
Reinier,br BRA,"MF,FW",23-312,,3,333.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,0.1,0.7,3.0,22.0,25.0,0.0,0.0,0.0,0.0,0.0,0.15,0.03,0.18,0.15,0.18,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,13.0,Atlético Mineiro
Patrick Silva,br BRA,MF,21-253,,2,224.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,3.0,Atlético Mineiro
Rômulo,br BRA,"DF,MF",21-300,,2,209.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,3.0,Atlético Mineiro
Igor Rabello,br BRA,DF,30-213,,2,189.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.12,0.12,0.12,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,4.0,Atlético Mineiro
Gabriel Delfim,br BRA,GK,23-140,,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,2.0,Atlético Mineiro
Júnior Santos,br BRA,"FW,MF",31-047,,1,361.0,4.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.1,2.1,0.1,2.2,14.0,10.0,32.0,0.5,0.0,0.5,0.5,0.5,0.53,0.01,0.54,0.53,0.54,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,16.0,Atlético Mineiro
João Marcelo,br BRA,FW,20-226,,0,68.0,0.8,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.6,0.6,0.1,0.7,1.0,4.0,11.0,1.32,1.32,2.65,1.32,2.65,0.84,0.09,0.93,0.84,0.93,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,7.0,Atlético Mineiro
Brahian Palacios,co COL,MF,23-003,,0,8.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,1.0,Atlético Mineiro
Isaac,br BRA,DF,21-246,,0,6.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,1.0,Atlético Mineiro
Mateus Iseppe,br BRA,MF,19-209,,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,1.0,Atlético Mineiro
Pedro Ataíde,br BRA,FW,20-152,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,0.0,Atlético Mineiro
Cadu,br BRA,FW,21-187,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,0.0,Atlético Mineiro
João Gabriel Santos,br BRA,FW,16-134,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,0.0,Atlético Mineiro
Índio,br BRA,MF,17-238,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,0.0,Atlético Mineiro
Zé Phelipe,br BRA,MF,20-166,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,0.0,Atlético Mineiro
David Ramos,br BRA,MF,20-260,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,0.0,Atlético Mineiro
Robert,br BRA,GK,20-297,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,0.0,Atlético Mineiro
Vitão,br BRA,DF,17-268,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,0.0,Atlético Mineiro
Wallysson,br BRA,FW,17-216,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,Atlético Mineiro,https://fbref.com/en/squads/422bb734/Atletico-Mineiro-Stats,0.0,Atlético Mineiro
Léo Jardim,br BRA,GK,30-252,,34,3055.0,33.9,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,Vasco da Gama,https://fbref.com/en/squads/83f55dbe/Vasco-da-Gama-Stats,34.0,Vasco da Gama
Nuno Gonçalo Moreira,pt POR,"FW,MF",26-164,,33,2407.0,26.7,6.0,5.0,11.0,6.0,0.0,0.0,3.0,0.0,3.8,3.8,4.8,8.6,61.0,133.0,174.0,0.22,0.19,0.41,0.22,0.41,0.14,0.18,0.32,0.14,0.32,Matches,Vasco da Gama,https://fbref.com/en/squads/83f55dbe/Vasco-da-Gama-Stats,34.0,Vasco da Gama
Rayan Vitor,br BRA,FW,19-116,,30,2661.0,29.6,12.0,1.0,13.0,10.0,2.0,2.0,4.0,0.0,8.2,6.6,1.9,8.5,72.0,68.0,168.0,0.41,0.03,0.44,0.34,0.37,0.28,0.06,0.34,0.22,0.29,Matches,Vasco da Gama,https://fbref.com/en/squads/83f55dbe/Vasco-da-Gama-Stats,32.0,Vasco da Gama
Philippe Coutinho,br BRA,MF,33-168,,28,2236.0,24.8,5.0,3.0,8.0,5.0,0.0,0.0,3.0,1.0,3.8,3.8,4.3,8.1,79.0,162.0,110.0,0.2,0.12,0.32,0.2,0.32,0.15,0.17,0.33,0.15,0.33,Matches,Vasco da Gama,https://fbref.com/en/squads/83f55dbe/Vasco-da-Gama-Stats,28.0,Vasco da Gama
Lucas Piton,br BRA,DF,25-049,,27,2389.0,26.5,1.0,7.0,8.0,1.0,0.0,0.0,5.0,0.0,0.7,0.7,3.8,4.5,42.0,103.0,170.0,0.04,0.26,0.3,0.04,0.3,0.03,0.14,0.17,0.03,0.17,Matches,Vasco da Gama,https://fbref.com/en/squads/83f55dbe/Vasco-da-Gama-Stats,28.0,Vasco da Gama
Hugo Moura,br BRA,"MF,DF",27-328,,27,2359.0,26.2,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.6,0.6,0.8,1.4,19.0,101.0,12.0,0.0,0.04,0.04,0.0,0.04,0.02,0.03,0.05,0.02,0.05,Matches,Vasco da Gama,https://fbref.com/en/squads/83f55dbe/Vasco-da-Gama-Stats,31.0,Vasco da Gama
Paulo Henrique,br BRA,DF,29-125,,26,2310.0,25.7,1.0,6.0,7.0,1.0,0.0,0.0,11.0,1.0,1.8,1.8,3.2,5.1,89.0,84.0,193.0,0.04,0.23,0.27,0.04,0.27,0.07,0.13,0.2,0.07,0.2,Matches,Vasco da Gama,https://fbref.com/en/squads/83f55dbe/Vasco-da-Gama-Stats,26.0,Vasco da Gama
Pablo Vegetti,ar ARG,FW,37-043,,26,2277.0,25.3,14.0,1.0,15.0,11.0,3.0,3.0,3.0,0.0,12.7,10.4,1.5,11.9,3.0,17.0,55.0,0.55,0.04,0.59,0.43,0.47,0.5,0.06,0.56,0.41,0.47,Matches,Vasco da Gama,https://fbref.com/en/squads/83f55dbe/Vasco-da-Gama-Stats,32.0,Vasco da Gama
Tchê Tchê,br BRA,MF,33-089,,23,1913.0,21.3,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.5,0.5,0.5,1.0,25.0,117.0,30.0,0.05,0.0,0.05,0.05,0.05,0.02,0.02,0.05,0.02,0.05,Matches,Vasco da Gama,https://fbref.com/en/squads/83f55dbe/Vasco-da-Gama-Stats,27.0,Vasco da Gama
Lucas Freitas,br BRA,DF,24-311,,18,1462.0,16.2,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.3,0.3,0.0,0.3,15.0,65.0,5.0,0.06,0.0,0.06,0.06,0.06,0.02,0.0,0.02,0.02,0.02,Matches,Vasco da Gama,https://fbref.com/en/squads/83f55dbe/Vasco-da-Gama-Stats,20.0,Vasco da Gama
João Victor,br BRA,DF,27-133,,16,1435.0,15.9,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.6,1.6,0.1,1.7,5.0,70.0,7.0,0.06,0.0,0.06,0.06,0.06,0.1,0.01,0.11,0.1,0.11,Matches,Vasco da Gama,https://fbref.com/en/squads/83f55dbe/Vasco-da-Gama-Stats,16.0,Vasco da Gama
José Luis Rodríguez Bebanz,uy URU,DF,28-258,,15,1381.0,15.3,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,1.1,1.1,2.0,3.1,19.0,34.0,106.0,0.13,0.13,0.26,0.13,0.26,0.07,0.13,0.2,0.07,0.2,Matches,Vasco da Gama,https://fbref.com/en/squads/83f55dbe/Vasco-da-Gama-Stats,22.0,Vasco da Gama
Cauan Barros,br BRA,MF,21-205,,14,1160.0,12.9,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.3,0.3,0.4,0.8,6.0,58.0,5.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.06,0.03,0.06,Matches,Vasco da Gama,https://fbref.com/en/squads/83f55dbe/Vasco-da-Gama-Stats,15.0,Vasco da Gama
Robert Renan,br BRA,DF,22-047,,13,1107.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.3,0.6,14.0,60.0,6.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Matches,Vasco da Gama,https://fbref.com/en/squads/83f55dbe/Vasco-da-Gama-Stats,13.0,Vasco da Gama
Carlos Cuesta,co COL,DF,26-263,,10,912.0,10.1,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.6,0.6,0.1,0.7,12.0,30.0,5.0,0.1,0.0,0.1,0.1,0.1,0.06,0.01,0.06,0.06,0.06,Matches,Vasco da Gama,https://fbref.com/en/squads/83f55dbe/Vasco-da-Gama-Stats,11.0,Vasco da Gama
Carlos Gómez,co COL,FW,23-076,,8,872.0,9.7,0.0,4.0,4.0,0.0,0.0,0.0,1.0,0.0,2.2,2.2,2.3,4.5,36.0,12.0,73.0,0.0,0.41,0.41,0.0,0.41,0.22,0.24,0.46,0.22,0.46,Matches,Vasco da Gama,https://fbref.com/en/squads/83f55dbe/Vasco-da-Gama-Stats,14.0,Vasco da Gama
Jair,br BRA,MF,31-093,,7,559.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.1,0.1,0.3,0.4,5.0,33.0,2.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,Matches,Vasco da Gama,https://fbref.com/en/squads/83f55dbe/Vasco-da-Gama-Stats,11.0,Vasco da Gama
David,br BRA,FW,30-041,,4,663.0,7.4,2.0,3.0,5.0,2.0,0.0,0.0,3.0,1.0,1.2,1.2,1.2,2.4,17.0,19.0,56.0,0.27,0.41,0.68,0.27,0.68,0.16,0.16,0.32,0.16,0.32,Matches,Vasco da Gama,https://fbref.com/en/squads/83f55dbe/Vasco-da-Gama-Stats,22.0,Vasco da Gama
Mateus Cocão,br BRA,MF,23-254,,4,503.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.2,4.0,37.0,8.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.04,0.03,0.04,Matches,Vasco da Gama,https://fbref.com/en/squads/83f55dbe/Vasco-da-Gama-Stats,18.0,Vasco da Gama
Benjamín Garré,ar ARG,"FW,MF",25-139,,3,293.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.3,0.4,7.0,18.0,16.0,0.0,0.0,0.0,0.0,0.0,0.04,0.09,0.13,0.04,0.13,Matches,Vasco da Gama,https://fbref.com/en/squads/83f55dbe/Vasco-da-Gama-Stats,10.0,Vasco da Gama
Luiz Gustavo,br BRA,DF,19-229,,3,288.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,Vasco da Gama,https://fbref.com/en/squads/83f55dbe/Vasco-da-Gama-Stats,5.0,Vasco da Gama
Mauricio Lemos,uy URU,DF,29-334,,3,243.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,Matches,Vasco da Gama,https://fbref.com/en/squads/83f55dbe/Vasco-da-Gama-Stats,4.0,Vasco da Gama
Paulinho,br BRA,"MF,FW",28-323,,3,214.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches,Vasco da Gama,https://fbref.com/en/squads/83f55dbe/Vasco-da-Gama-Stats,9.0,Vasco da Gama
Loide Augusto,ao ANG,"FW,MF",25-274,,2,192.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4,0.4,0.2,0.6,15.0,5.0,28.0,0.0,0.0,0.0,0.0,0.0,0.19,0.08,0.26,0.19,0.26,Matches,Vasco da Gama,https://fbref.com/en/squads/83f55dbe/Vasco-da-Gama-Stats,10.0,Vasco da Gama
