atleta_id,nome,clube,clube_id,posicao,posicao_id,status,pontos_num,preco_num,variacao_num,media_num,jogos_num,FS,FT,I,DS,FC,FD,FF,DE,GS,SG,A,CA,G,PS,V,CV,DP,PP,PC,GC
141038,Gustavo Felix,FLU,266,Goleiro,1,Nulo,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141131,Vitão,CAM,282,Zagueiro,3,Nulo,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141151,Felipinho,SPT,292,Lateral,2,Nulo,0.0,3.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141150,Rafinha,SPT,292,Zagueiro,3,Nulo,4.2,2.51,1.51,4.2,1,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141154,Felype Gabriel,SPT,292,Zagueiro,3,Nulo,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141156,Adriel,SPT,292,Meia,4,Contundido,0.0,1.51,0.0,0.92,4,0.0,0.0,0.0,4.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141401,Kayke Queiroz,FOR,356,Atacante,5,Nulo,0.0,2.85,0.0,0.7,2,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141160,Zé Lucas,SPT,292,Meia,4,Nulo,0.0,5.05,0.0,2.81,23,25.0,0.0,2.0,36.0,29.0,4.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141161,Gago,SPT,292,Meia,4,Nulo,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141153,Riquelme,SPT,292,Zagueiro,3,Nulo,0.0,0.91,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141158,Breno,SPT,292,Meia,4,Nulo,0.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141405,Avellar,VAS,267,Lateral,2,Nulo,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141465,Bernardo Jacob,INT,285,Meia,4,Nulo,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141162,Jefinho,SPT,292,Meia,4,Nulo,0.0,1.99,0.0,2.8,1,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141453,Atencio,SPT,292,Meia,4,Nulo,0.0,3.01,0.0,0.94,18,6.0,1.0,0.0,1.0,5.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141419,Fredi Lippert,BAH,265,Zagueiro,3,Nulo,0.0,1.5,0.0,1.7,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141433,Gustavo Cintra,FLU,266,Zagueiro,3,Nulo,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141451,Allan,PAL,275,Meia,4,Nulo,2.0,4.96,-0.08,3.35,24,12.0,1.0,1.0,27.0,10.0,7.0,7.0,0.0,0.0,0.0,3.0,0.0,1.0,,,1.0,0.0,0.0,0.0,0.0
141611,Maik,SAO,276,Lateral,2,Nulo,0.0,10.35,0.0,7.69,9,7.0,0.0,0.0,20.0,10.0,0.0,1.0,0.0,0.0,3.0,2.0,3.0,2.0,,,0.0,0.0,0.0,0.0,0.0
141467,Pablo,INT,285,Lateral,2,Nulo,0.0,1.44,0.0,1.4,1,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141526,Lucca Prior,FOR,356,Meia,4,Contundido,0.0,3.93,0.0,3.41,11,13.0,0.0,2.0,10.0,12.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,,,0.0,0.0,0.0,0.0,0.0
141551,Índio,CAM,282,Meia,4,Nulo,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141595,Gabriel Mec,GRE,284,Atacante,5,Nulo,0.0,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141610,João Pedro,SAO,276,Goleiro,1,Nulo,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
141614,Paulinho,SAO,276,Atacante,5,Nulo,1.5,1.02,0.31,0.4,3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0
