atleta_id,nome,clube,clube_id,posicao,posicao_id,status,pontos_num,preco_num,variacao_num,media_num,jogos_num,adversario,adversario_id,fator_casa,pontuacao_prevista,adversario_forca_def,adversario_forca_of,volatilidade,prob_vitoria,custo_beneficio
105047,João Marcelo,Cruzeiro,283,Zagueiro,3,Provável,-0.3,4.63,-0.94,0.65,4,Santos,277,-1,0.65,3,3,0.9539392014169455,0.2048780487804878,0.14038876889848814
101314,Ademir,Bahia,265,Atacante,5,Provável,1.5,6.19,-1.62,4.65,29,Fluminense,266,-1,4.65,2,2,3.6252671041393185,0.2520296900448832,0.7512116316639742
101290,Ferreira,São Paulo,276,Atacante,5,Provável,-0.6,8.06,-1.57,4.56,27,Vitória,287,-1,4.56,1,2,4.925073936130631,0.3011085576842932,0.5657568238213398
101597,Ramon,Vitória,287,Lateral,2,Provável,11.8,7.75,0.7,4.36,21,São Paulo,276,1,4.36,4,3,3.2955019850294938,0.2900587023564293,0.5625806451612904
101594,Hugo Moura,Vasco,267,Meia,4,Provável,-3.3,3.85,-0.56,1.76,30,Atlético-MG,282,-1,1.76,3,4,3.091069821870441,0.23652435862613894,0.45714285714285713
101651,Peixoto,Juventude,286,Meia,4,Provável,0.1,4.38,-0.63,3.28,11,Corinthians,264,-1,3.28,3,2,3.7338500724635906,0.2464292402009341,0.7488584474885844
101908,Willian Machado,Ceará,354,Zagueiro,3,Provável,4.6,5.7,0.59,3.77,33,Palmeiras,275,1,3.77,5,5,2.9725575662800012,0.42358977558054306,0.6614035087719298
101960,Vitinho,Internacional,285,Atacante,5,Provável,1.9,6.41,-0.5,4.56,26,Bragantino,280,1,4.56,3,3,5.117885681231445,0.19089368797568781,0.7113884555382215
102928,Canobbio,Fluminense,266,Atacante,5,Provável,5.2,8.1,-2.17,5.28,28,Bahia,265,1,5.28,3,4,4.731365564593388,0.20335442801904738,0.6518518518518519
102950,Facundo Torres,Palmeiras,275,Atacante,5,Provável,8.5,9.77,1.01,3.88,27,Ceará,354,-1,3.88,2,2,4.300311391362032,0.30217869340777587,0.3971340839303992
103056,Gabriel Brazão,Santos,277,Goleiro,1,Provável,10.2,7.57,0.41,4.29,37,Cruzeiro,283,1,4.29,4,3,4.737612264629722,0.11219512195121949,0.5667107001321003
103347,Matheus Alexandre,Sport,292,Lateral,2,Provável,3.2,5.91,0.19,3.88,24,Grêmio,284,1,3.88,2,3,3.5902343389666997,0.33,0.6565143824027072
103448,César Lucena,Sport,292,Técnico,6,Provável,2.85,6.35,-0.35,3.18,7,Grêmio,284,1,3.18,2,3,1.4628934147288868,0.33,0.5007874015748032
104075,Sabino,São Paulo,276,Zagueiro,3,Provável,4.2,6.62,-1.79,4.59,30,Vitória,287,-1,4.59,1,2,4.768913946579982,0.3011085576842932,0.6933534743202416
103912,Hernán Crespo,São Paulo,276,Técnico,6,Provável,3.29,10.35,-1.09,6.12,26,Vitória,287,-1,6.12,1,2,3.2403446318768836,0.3011085576842932,0.591304347826087
104085,Bruno Fuchs,Palmeiras,275,Zagueiro,3,Provável,9.5,8.62,0.57,5.13,23,Ceará,354,-1,5.13,2,2,3.569372026935083,0.30217869340777587,0.5951276102088168
104191,Raul,Botafogo,263,Goleiro,1,Provável,0.6,1.95,-0.08,0.6,2,Fortaleza,356,1,0.6,4,4,0.0,0.4959785522788205,0.3076923076923077
104521,Vinícius Zanocelo,Ceará,354,Meia,4,Provável,2.2,5.03,-0.33,3.23,14,Palmeiras,275,1,3.23,5,5,2.8722621937925705,0.42358977558054306,0.6421471172962226
104783,Acevedo,Bahia,265,Meia,4,Provável,4.9,5.77,-1.35,3.87,30,Fluminense,266,-1,3.87,2,2,3.32934704170922,0.2520296900448832,0.6707105719237436
104754,Juan Vojvoda,Santos,277,Técnico,6,Provável,11.45,11.19,0.21,5.68,29,Cruzeiro,283,1,5.68,4,3,3.02886390445727,0.11219512195121949,0.5075960679177838
101027,Diego,Ceará,354,Lateral,2,Provável,3.9,9.34,0.37,5.13,30,Palmeiras,275,1,5.13,5,5,3.691406609765536,0.42358977558054306,0.5492505353319058
105258,Gastón Ávila,Fortaleza,356,Zagueiro,3,Provável,2.5,8.07,-0.02,4.24,23,Botafogo,263,-1,4.24,5,4,3.460928158083467,0.2520107238605898,0.5254027261462206
105563,Carlos Vinícius,Grêmio,284,Atacante,5,Provável,15.6,12.17,0.91,7.97,13,Sport,292,-1,7.97,2,2,8.128613594848693,0.33,0.6548890714872637
105786,Talles Magno,Corinthians,264,Atacante,5,Provável,6.2,6.29,0.71,2.74,24,Juventude,286,1,2.74,2,2,2.5689901021466657,0.5862260807264457,0.43561208267090623
105647,Maurício,Palmeiras,275,Meia,4,Provável,2.4,8.47,-0.02,3.99,25,Ceará,354,-1,3.99,2,2,3.8352183770940607,0.30217869340777587,0.47107438016528924
106147,Thiago Carpini,Juventude,286,Técnico,6,Provável,4.41,7.12,0.15,4.35,31,Corinthians,264,-1,4.35,3,2,1.9862896750945207,0.2464292402009341,0.6109550561797752
