atleta_id,nome,clube,clube_id,posicao,posicao_id,status,pontos_num,preco_num,variacao_num,media_num,jogos_num,adversario,adversario_id,fator_casa,pontuacao_prevista,adversario_forca_def,adversario_forca_of,volatilidade,prob_vitoria,custo_beneficio
107453,João Paulo,Chapecoense,315,Zagueiro,3,Provável,0,3,0,0,0,Santos,277,1,0.0,3,3,2.0,0.28842708706556786,0.0
130843,Arthur Dias,Athlético-PR,293,Zagueiro,3,Provável,0,3,0,0,0,Internacional,285,-1,0.0,4,3,2.0,0.33,0.0
99552,Rossi,Flamengo,262,Goleiro,1,Provável,0,9,0,0,0,São Paulo,276,-1,0.0,4,3,2.0,0.33,0.0
110426,Bernabéi,Internacional,285,Lateral,2,Provável,0,11,0,0,0,Athlético-PR,293,1,0.0,3,3,2.0,0.33,0.0
130619,Mailson,Chapecoense,315,Atacante,5,Provável,0,2,0,0,0,Santos,277,1,0.0,3,3,2.0,0.28842708706556786,0.0
78850,Reinaldo,Mirassol,2305,Lateral,2,Provável,0,17,0,0,0,Vasco,267,1,0.0,3,3,2.0,0.5397443578989416,0.0
51772,Everton Ribeiro,Bahia,265,Meia,4,Provável,0,10,0,0,0,Corinthians,264,-1,0.0,3,2,2.0,0.33,0.0
89837,Lucho Acosta,Fluminense,266,Meia,4,Provável,0,8,0,0,0,Grêmio,284,1,0.0,2,3,2.0,0.5568469715569253,0.0
112709,Kaiki Bruno,Cruzeiro,283,Lateral,2,Provável,0,14,0,0,0,Botafogo,263,-1,0.0,5,4,2.0,0.33,0.0
100652,Yuri Alberto,Corinthians,264,Atacante,5,Provável,0,19,0,0,0,Bahia,265,1,0.0,3,4,2.0,0.3066420094325801,0.0
80287,Luciano,São Paulo,276,Atacante,5,Provável,0,18,0,0,0,Flamengo,262,1,0.0,4,5,2.0,0.467498473082628,0.0
109573,Martinelli,Fluminense,266,Meia,4,Provável,0,9,0,0,0,Grêmio,284,1,0.0,2,3,2.0,0.5568469715569253,0.0
126471,Barreal,Santos,277,Meia,4,Provável,0,12,0,0,0,Chapecoense,315,-1,0.0,3,3,2.0,0.33,0.0
39148,Hulk,Atlético-MG,282,Atacante,5,Provável,0,16,0,0,0,Palmeiras,275,1,0.0,5,5,2.0,0.35921400822025784,0.0
103445,Kaio Jorge,Cruzeiro,283,Atacante,5,Provável,0,17,0,0,0,Botafogo,263,-1,0.0,5,4,2.0,0.33,0.0
94583,Pedro,Flamengo,262,Atacante,5,Provável,0,20,0,0,0,São Paulo,276,-1,0.0,4,3,2.0,0.33,0.0
114802,Vitor Roque,Palmeiras,275,Atacante,5,Provável,0,21,0,0,0,Atlético-MG,282,-1,0.0,3,4,2.0,0.33,0.0
93988,Breno Lopes,Coritiba,294,Atacante,5,Provável,0,8,0,0,0,Bragantino,280,1,0.0,3,3,2.0,0.25445074583112537,0.0
101254,Alef Manga,Remo,364,Atacante,5,Provável,0,5,0,0,0,Vitória,287,-1,0.0,1,2,2.0,0.33,0.0
68685,Alan Patrick,Internacional,285,Meia,4,Provável,0,8,0,0,0,Athlético-PR,293,1,0.0,3,3,2.0,0.33,0.0
104502,Christian,Cruzeiro,283,Meia,4,Provável,0,9,0,0,0,Botafogo,263,-1,0.0,5,4,2.0,0.33,0.0
103056,Gabriel Brazão,Santos,277,Goleiro,1,Provável,0,10,0,0,0,Chapecoense,315,-1,0.0,3,3,2.0,0.33,0.0
73717,Juan Carlos Osorio,Remo,364,Técnico,6,Provável,0,6,0,0,0,Vitória,287,-1,0.0,1,2,2.0,0.33,0.0
97810,Erick,Vitória,287,Atacante,5,Provável,0,7,0,0,0,Remo,364,1,0.0,3,3,2.0,0.18238960629092918,0.0
68899,Philippe Coutinho,Vasco,267,Meia,4,Provável,0,12,0,0,0,Mirassol,2305,-1,0.0,2,2,2.0,0.33,0.0
68928,Rafael,São Paulo,276,Goleiro,1,Provável,0,9,0,0,0,Flamengo,262,1,0.0,4,5,2.0,0.467498473082628,0.0
105949,Rochet,Internacional,285,Goleiro,1,Provável,0,8,0,0,0,Athlético-PR,293,1,0.0,3,3,2.0,0.33,0.0
69012,Santos,Athlético-PR,293,Goleiro,1,Provável,0,8,0,0,0,Internacional,285,-1,0.0,4,3,2.0,0.33,0.0
42234,Cássio,Cruzeiro,283,Goleiro,1,Provável,0,13,0,0,0,Botafogo,263,-1,0.0,5,4,2.0,0.33,0.0
72294,Everson,Atlético-MG,282,Goleiro,1,Provável,0,11,0,0,0,Palmeiras,275,1,0.0,5,5,2.0,0.35921400822025784,0.0
61987,Alex Sandro,Flamengo,262,Lateral,2,Provável,0,12,0,0,0,São Paulo,276,-1,0.0,4,3,2.0,0.33,0.0
96591,Renan Lodi,Atlético-MG,282,Lateral,2,Provável,0,11,0,0,0,Palmeiras,275,1,0.0,5,5,2.0,0.35921400822025784,0.0
100898,Vitinho,Botafogo,263,Lateral,2,Provável,0,9,0,0,0,Cruzeiro,283,1,0.0,4,3,2.0,0.40588200601568797,0.0
87008,Léo Jardim,Vasco,267,Goleiro,1,Provável,0,11,0,0,0,Mirassol,2305,-1,0.0,2,2,2.0,0.33,0.0
80196,Yago Pikachu,Remo,364,Meia,4,Provável,0,7,0,0,0,Vitória,287,-1,0.0,1,2,2.0,0.33,0.0
90768,Fabrício Bruno,Cruzeiro,283,Zagueiro,3,Provável,0,12,0,0,0,Botafogo,263,-1,0.0,5,4,2.0,0.33,0.0
37656,Fábio,Fluminense,266,Goleiro,1,Provável,0,12,0,0,0,Grêmio,284,1,0.0,2,3,2.0,0.5568469715569253,0.0
105436,Carrascal,Flamengo,262,Meia,4,Provável,0,13,0,0,0,São Paulo,276,-1,0.0,4,3,2.0,0.33,0.0
101727,Matheuzinho,Corinthians,264,Lateral,2,Provável,0,12,0,0,0,Bahia,265,1,0.0,3,4,2.0,0.3066420094325801,0.0
99274,Alexander Barboza,Botafogo,263,Zagueiro,3,Provável,0,11,0,0,0,Cruzeiro,283,1,0.0,4,3,2.0,0.40588200601568797,0.0
115248,Jhon Jhon,Bragantino,280,Meia,4,Provável,0,14,0,0,0,Coritiba,294,-1,0.0,3,3,2.0,0.33,0.0
91772,David Duarte,Bahia,265,Zagueiro,3,Provável,0,5,0,0,0,Corinthians,264,-1,0.0,3,2,2.0,0.33,0.0
80313,Gilberto,Bahia,265,Lateral,2,Provável,0,7,0,0,0,Corinthians,264,-1,0.0,3,2,2.0,0.33,0.0
91101,Ronaldo,Bahia,265,Goleiro,1,Provável,0,6,0,0,0,Corinthians,264,-1,0.0,3,2,2.0,0.33,0.0
109401,Erick Pulga,Bahia,265,Atacante,5,Provável,0,10,0,0,0,Corinthians,264,-1,0.0,3,2,2.0,0.33,0.0
68996,Willian José,Bahia,265,Atacante,5,Provável,0,12,0,0,0,Corinthians,264,-1,0.0,3,2,2.0,0.33,0.0
98484,Kanu,Bahia,265,Zagueiro,3,Provável,0,4,0,0,0,Corinthians,264,-1,0.0,3,2,2.0,0.33,0.0
101314,Ademir,Bahia,265,Atacante,5,Provável,0,8,0,0,0,Corinthians,264,-1,0.0,3,2,2.0,0.33,0.0
106323,Caio Alexandre,Bahia,265,Meia,4,Provável,0,7,0,0,0,Corinthians,264,-1,0.0,3,2,2.0,0.33,0.0
98517,Jean Lucas,Bahia,265,Meia,4,Provável,0,9,0,0,0,Corinthians,264,-1,0.0,3,2,2.0,0.33,0.0
97341,Rogério Ceni,Bahia,265,Técnico,6,Provável,0,11,0,0,0,Corinthians,264,-1,0.0,3,2,2.0,0.33,0.0
72493,Alex Telles,Botafogo,263,Lateral,2,Provável,0,12,0,0,0,Cruzeiro,283,1,0.0,4,3,2.0,0.40588200601568797,0.0
107183,Léo Linck,Botafogo,263,Goleiro,1,Provável,0,6,0,0,0,Cruzeiro,283,1,0.0,4,3,2.0,0.40588200601568797,0.0
117965,Martín Anselmi,Botafogo,263,Técnico,6,Provável,0,6,0,0,0,Cruzeiro,283,1,0.0,4,3,2.0,0.40588200601568797,0.0
95799,Artur,Botafogo,263,Atacante,5,Provável,0,8,0,0,0,Cruzeiro,283,1,0.0,4,3,2.0,0.40588200601568797,0.0
104693,Newton,Botafogo,263,Meia,4,Provável,0,5,0,0,0,Cruzeiro,283,1,0.0,4,3,2.0,0.40588200601568797,0.0
105214,Santiago Rodríguez,Botafogo,263,Meia,4,Provável,0,8,0,0,0,Cruzeiro,283,1,0.0,4,3,2.0,0.40588200601568797,0.0
107231,Danilo,Botafogo,263,Meia,4,Provável,0,10,0,0,0,Cruzeiro,283,1,0.0,4,3,2.0,0.40588200601568797,0.0
70360,Eduardo Sasha,Bragantino,280,Atacante,5,Provável,0,7,0,0,0,Coritiba,294,-1,0.0,3,3,2.0,0.33,0.0
39850,Vagner Mancini,Bragantino,280,Técnico,6,Provável,0,5,0,0,0,Coritiba,294,-1,0.0,3,3,2.0,0.33,0.0
78605,Gabriel,Bragantino,280,Meia,4,Provável,0,6,0,0,0,Coritiba,294,-1,0.0,3,3,2.0,0.33,0.0
94968,Juninho Capixaba,Bragantino,280,Lateral,2,Provável,0,9,0,0,0,Coritiba,294,-1,0.0,3,3,2.0,0.33,0.0
93882,Cleiton,Bragantino,280,Goleiro,1,Provável,0,7,0,0,0,Coritiba,294,-1,0.0,3,3,2.0,0.33,0.0
