atleta_id,rodada_real,apelido,posicao,rodada_x,preco_num,rodada_y,media_acumulada,media_previa,perfil
105300,2,Ferraresi,Zagueiro,2,0.0,2,0.0,0.0,Inesperado
68991,2,Lucas Sasha,Meia,2,5.92,2,1.8,1.8,Inesperado
68991,2,Lucas Sasha,Meia,2,5.92,2,0.75,0.75,Inesperado
68991,2,Lucas Sasha,Meia,2,0.0,2,1.8,1.8,Inesperado
68991,2,Lucas Sasha,Meia,2,0.0,2,0.75,0.75,Inesperado
87863,2,Arrascaeta,Meia,2,15.74,2,3.925,3.925,Intermediario
87863,2,Arrascaeta,Meia,2,15.74,2,3.56,3.56,Intermediario
87863,2,Arrascaeta,Meia,2,15.74,2,4.8999999999999995,4.8999999999999995,Medalhao
87863,2,Arrascaeta,Meia,2,15.74,2,4.014285714285714,4.014285714285714,Intermediario
87863,2,Arrascaeta,Meia,2,15.74,2,5.9,5.9,Medalhao
87863,2,Arrascaeta,Meia,2,15.74,2,5.2444444444444445,5.2444444444444445,Medalhao
87863,2,Arrascaeta,Meia,2,13.75,2,3.925,3.925,Intermediario
87863,2,Arrascaeta,Meia,2,13.75,2,3.56,3.56,Intermediario
87863,2,Arrascaeta,Meia,2,13.75,2,4.8999999999999995,4.8999999999999995,Medalhao
87863,2,Arrascaeta,Meia,2,13.75,2,4.014285714285714,4.014285714285714,Intermediario
87863,2,Arrascaeta,Meia,2,13.75,2,5.9,5.9,Medalhao
87863,2,Arrascaeta,Meia,2,13.75,2,5.2444444444444445,5.2444444444444445,Medalhao
87863,2,Arrascaeta,Meia,2,16.4,2,3.925,3.925,Intermediario
87863,2,Arrascaeta,Meia,2,16.4,2,3.56,3.56,Intermediario
87863,2,Arrascaeta,Meia,2,16.4,2,4.8999999999999995,4.8999999999999995,Medalhao
87863,2,Arrascaeta,Meia,2,16.4,2,4.014285714285714,4.014285714285714,Intermediario
87863,2,Arrascaeta,Meia,2,16.4,2,5.9,5.9,Medalhao
87863,2,Arrascaeta,Meia,2,16.4,2,5.2444444444444445,5.2444444444444445,Medalhao
87863,2,Arrascaeta,Meia,2,20.8,2,3.925,3.925,Intermediario
87863,2,Arrascaeta,Meia,2,20.8,2,3.56,3.56,Intermediario
87863,2,Arrascaeta,Meia,2,20.8,2,4.8999999999999995,4.8999999999999995,Medalhao
87863,2,Arrascaeta,Meia,2,20.8,2,4.014285714285714,4.014285714285714,Intermediario
87863,2,Arrascaeta,Meia,2,20.8,2,5.9,5.9,Medalhao
87863,2,Arrascaeta,Meia,2,20.8,2,5.2444444444444445,5.2444444444444445,Medalhao
87863,2,Arrascaeta,Meia,2,19.0,2,3.925,3.925,Intermediario
87863,2,Arrascaeta,Meia,2,19.0,2,3.56,3.56,Intermediario
87863,2,Arrascaeta,Meia,2,19.0,2,4.8999999999999995,4.8999999999999995,Medalhao
87863,2,Arrascaeta,Meia,2,19.0,2,4.014285714285714,4.014285714285714,Intermediario
87863,2,Arrascaeta,Meia,2,19.0,2,5.9,5.9,Medalhao
87863,2,Arrascaeta,Meia,2,19.0,2,5.2444444444444445,5.2444444444444445,Medalhao
87863,2,Arrascaeta,Meia,2,0.0,2,3.925,3.925,Inesperado
87863,2,Arrascaeta,Meia,2,0.0,2,3.56,3.56,Inesperado
87863,2,Arrascaeta,Meia,2,0.0,2,4.8999999999999995,4.8999999999999995,Inesperado
87863,2,Arrascaeta,Meia,2,0.0,2,4.014285714285714,4.014285714285714,Inesperado
87863,2,Arrascaeta,Meia,2,0.0,2,5.9,5.9,Inesperado
87863,2,Arrascaeta,Meia,2,0.0,2,5.2444444444444445,5.2444444444444445,Inesperado
98022,2,Erick,Meia,2,1.0,2,0.05,0.05,Inesperado
98022,2,Erick,Meia,2,1.0,2,0.04,0.04,Inesperado
98022,2,Erick,Meia,2,1.0,2,0.03333333333333333,0.03333333333333333,Inesperado
98022,2,Erick,Meia,2,1.0,2,0.028571428571428574,0.028571428571428574,Inesperado
98022,2,Erick,Meia,2,1.0,2,-0.1875,-0.1875,Inesperado
98022,2,Erick,Meia,2,4.0,2,0.05,0.05,Inesperado
