ano,rodada,clube_id,probabilidade_sg
2021,17,265,0.25
2021,17,286,0.4
2021,17,356,0.3
2021,17,354,0.2
2021,17,262,0.1
2021,17,277,0.6
2021,17,285,0.6
2021,17,292,0.5
2021,17,276,0.5
2021,17,266,0.3
2021,17,282,0.3
2021,18,277,0.5
2021,18,262,0.3
2021,18,284,0.6
2021,18,264,0.4
2021,18,286,0.4
2021,18,276,0.3
2021,18,280,0.3
2021,18,282,0.1
2021,18,266,0.4
2021,18,265,0.2
2021,19,265,0.3
2021,19,356,0.6
2021,19,264,0.4
2021,19,286,0.1
2021,19,354,0.3
2021,19,275,0.2
2021,19,285,0.3
2021,19,280,0.2
2021,19,282,0.6
2021,19,284,0.1
2021,20,277,0.7
2021,20,265,0.3
2021,20,284,0.6
2021,20,354,0.6
2021,20,275,0.2
2021,20,262,0.2
2021,20,356,0.4
2021,20,282,0.0
2021,20,266,0.3
2021,20,276,0.5
2021,20,292,0.3
2021,20,285,0.7
2021,21,282,0.6
2021,21,292,0.2
2021,21,354,0.2
2021,21,277,0.0
2021,21,265,0.4
2021,21,280,0.4
2021,21,285,0.1
2021,21,356,0.2
2021,21,262,0.3
2021,21,284,0.3
2021,22,264,0.2
2021,22,275,0.2
2021,22,276,0.2
2021,22,282,0.3
2021,22,285,0.7
2021,22,265,0.2
2021,22,266,0.3
2021,22,280,0.2
2021,22,286,0.3
2021,22,277,0.1
2021,22,292,0.3
2021,22,356,0.4
2021,23,284,0.4
2021,23,262,0.5
2021,23,280,0.5
2021,23,264,0.4
2021,23,282,0.4
2021,23,285,0.3
2021,23,275,0.4
2021,23,286,0.0
2021,23,284,0.6
2021,23,292,0.4
2021,23,277,0.4
2021,23,266,0.5
2021,23,265,0.5
2021,23,354,0.5
2021,24,264,0.5
2021,24,265,0.1
2021,24,292,0.3
2021,24,286,0.5
2021,24,354,0.4
2021,24,285,0.4
2021,24,280,0.1
2021,24,262,0.1
2021,24,266,0.2
2021,24,356,0.1
2021,24,276,0.5
2021,24,277,0.4
2021,25,282,0.7
2021,25,354,0.2
2021,25,292,0.3
2021,25,264,0.6
2021,25,356,0.2
2021,25,262,0.2
2021,25,275,0.3
2021,25,280,0.1
2021,25,277,0.4
2021,25,284,0.5
2021,26,265,0.2
2021,26,275,0.4
2021,26,282,0.5
2021,26,277,0.1
2021,26,262,0.1
2021,26,286,0.3
2021,26,356,0.4
2021,26,284,0.3
2021,26,264,0.2
2021,26,266,0.1
2021,26,276,0.4
2021,26,354,0.4
2021,27,275,0.3
2021,27,285,0.3
2021,27,354,0.3
2021,27,280,0.3
2021,27,284,0.2
2021,27,286,0.1
2021,27,292,0.3
2021,27,277,0.4
2021,27,276,0.5
2021,27,264,0.4
2021,28,284,0.5
2021,28,265,0.2
2021,28,292,0.3
2021,28,356,0.5
2021,28,262,0.4
2021,28,266,0.2
2021,28,354,0.5
2021,28,285,0.4
2021,28,275,0.4
2021,28,264,0.2
2021,28,282,0.5
2021,28,277,0.2
2021,28,286,0.3
2021,28,354,0.0
2021,28,266,0.1
2021,28,262,0.3
2021,28,285,0.6
2021,28,264,0.1
2021,28,280,0.1
2021,28,276,0.2
2021,28,275,0.5
2021,28,292,0.2
2021,29,292,0.6
2021,29,275,0.4
2021,29,356,0.4
2021,29,284,0.3
2021,29,276,0.5
2021,29,277,0.2
2021,29,262,0.3
2021,29,354,0.3
2021,29,267,0.5
2021,29,263,0.5
2021,29,280,0.2
2021,29,282,0.2
2021,29,264,0.4
2021,29,266,0.0
2021,29,262,0.2
2021,29,282,0.4
2021,29,286,0.5
2021,29,265,0.2
2021,29,284,0.3
2021,29,275,0.2
2021,29,354,0.5
2021,29,266,0.3
2021,29,276,0.5
2021,29,285,0.5
2021,30,275,0.5
2021,30,284,0.2
2021,30,267,0.8
2021,30,264,0.0
2021,30,277,0.8
2021,30,263,0.2
2021,30,354,0.3
2021,30,280,0.3
2021,30,285,0.4
2021,30,356,0.2
2021,30,265,0.4
2021,30,264,0.3
2021,30,264,0.4
2021,30,356,0.2
2021,30,285,0.5
2021,30,284,0.2
2021,30,266,0.3
2021,30,292,0.2
2021,30,277,0.4
2021,30,275,0.4
2021,30,265,0.2
2021,30,276,0.2
2021,31,284,0.2
2021,31,282,0.2
2021,31,264,0.7
2021,31,266,0.0
2021,31,280,0.1
2021,31,267,0.0
2021,31,276,0.6
2021,31,285,0.3
2021,31,262,0.2
2021,31,275,0.5
2021,31,356,0.4
2021,31,277,0.5
2021,31,264,0.6
2021,31,292,0.0
2021,31,284,0.3
2021,31,266,0.0
2021,31,277,0.3
2021,31,280,0.2
2021,31,282,0.5
2021,31,264,0.1
2021,31,286,0.6
2021,31,285,0.4
2021,31,356,0.5
2021,31,276,0.4
2021,31,262,0.5
