ano,rodada,mandante_id,visitante_id,placar_mandante,placar_visitante
2021,11,276,265,1,0
2021,11,292,266,1,2
2021,11,356,264,1,0
2021,12,276,356,0,1
2021,12,264,282,1,2
2021,12,266,284,0,1
2021,12,265,262,0,5
2021,12,280,277,2,2
2021,12,285,286,1,0
2021,13,275,266,1,0
2021,13,282,265,3,0
2021,13,262,276,5,1
2021,13,356,280,1,0
2021,13,292,354,0,0
2021,14,276,275,0,0
2021,14,280,284,1,0
2021,14,264,262,1,3
2021,14,265,292,0,1
2021,14,354,356,3,1
2021,15,292,280,0,0
2021,15,275,356,2,3
2021,15,277,264,0,0
2021,15,286,282,1,2
2021,15,262,285,0,4
2021,16,280,286,1,2
2021,16,282,275,2,0
2021,16,276,284,2,1
2021,16,262,292,2,0
2021,16,264,354,3,1
2021,16,356,277,1,1
2021,16,285,266,4,2
2021,17,284,265,2,0
2021,17,286,356,1,1
2021,17,354,262,1,1
2021,17,277,285,2,2
2021,17,292,276,0,1
2021,17,266,282,1,1
2021,18,277,262,0,4
2021,18,284,264,0,1
2021,18,286,276,1,1
2021,18,280,282,1,1
2021,18,266,265,2,0
2021,14,266,286,1,1
2021,19,265,356,4,2
2021,19,264,286,1,1
2021,20,277,265,0,0
2021,20,284,354,2,0
2021,20,275,262,1,3
2021,20,356,282,0,2
2021,20,266,276,2,1
2021,20,292,285,0,1
2021,21,282,292,3,0
2021,21,354,277,0,0
2021,21,265,280,1,1
2021,21,285,356,1,0
2021,21,262,284,0,1
2021,22,264,275,2,1
2021,22,276,282,0,0
2021,22,285,265,2,0
2021,22,266,280,2,1
2021,22,286,277,3,0
2021,22,292,356,0,1
2021,23,280,264,2,2
2021,23,282,285,1,0
2021,23,275,286,1,1
2021,23,284,292,1,2
2021,24,264,265,3,1
2021,24,292,286,3,1
2021,24,354,285,0,0
2021,24,280,262,1,1
2021,24,266,356,0,2
2021,24,276,277,1,1
2021,25,282,354,3,1
2021,25,292,264,1,0
2021,25,356,262,0,3
2021,25,275,280,2,4
2021,25,277,284,1,0
2021,26,265,275,0,0
2021,26,282,277,3,1
2021,26,262,286,3,1
2021,26,356,284,1,0
2021,26,264,266,1,0
2021,26,276,354,1,1
