ano,rodada,atleta_id,apelido,posicao,medalhas_acumuladas,percentual_top5
2025,1,86292,Bolasie,Atacante,0,0.0
2025,1,86485,Keno,Atacante,0,0.0
2025,1,86686,Tchê Tchê,Meia,0,0.0
2025,1,86757,Everton,Atacante,0,0.0
2025,1,86820,Reginaldo,Lateral,0,0.0
2025,1,86859,José Welison,Meia,0,0.0
2025,1,87008,Léo Jardim,Goleiro,0,0.0
2025,1,87225,Pedro Henrique,Zagueiro,0,0.0
2025,1,87228,Guilherme Arana,Lateral,0,0.0
2025,1,87470,Thaciano,Meia,0,0.0
2025,1,87742,Neto Moura,Meia,0,0.0
2025,1,87853,Mauricio Lemos,Zagueiro,0,0.0
2025,1,87999,Gustavo Scarpa,Meia,0,0.0
2025,1,88312,Junior Alonso,Zagueiro,0,0.0
2025,1,88323,Ángel Romero,Atacante,0,0.0
2025,1,88393,Ayrton Lucas,Lateral,0,0.0
2025,1,88479,Walace,Meia,0,0.0
2025,1,88963,Leonardo Jardim,Tecnico,0,0.0
2025,1,89048,Héctor Hernández,Atacante,0,0.0
2025,1,89275,William,Lateral,0,0.0
2025,1,89637,Thiago Maia,Meia,0,0.0
2025,1,89840,Calleri,Atacante,0,0.0
2025,1,90285,Bruno Henrique,Atacante,0,0.0
2025,1,90307,Juninho,Atacante,0,0.0
2025,1,90768,Fabrício Bruno,Zagueiro,0,0.0
2025,1,90943,Zé Marcos,Zagueiro,0,0.0
2025,1,91101,Ronaldo,Goleiro,0,0.0
2025,1,91130,Fernandinho,Atacante,0,0.0
2025,1,91473,Erick Pulgar,Meia,0,0.0
2025,1,91573,Arboleda,Zagueiro,0,0.0
2025,1,91607,Rony,Atacante,0,0.0
2025,1,91639,Igor Cariús,Lateral,0,0.0
2025,1,91808,Caíque França,Goleiro,0,0.0
2025,1,91866,Zé Ivaldo,Zagueiro,0,0.0
2025,1,91908,Pavón,Atacante,0,0.0
2025,1,92075,Ramón Díaz,Tecnico,0,0.0
2025,1,92087,Lyanco,Zagueiro,0,0.0
2025,1,92182,Juninho,Zagueiro,0,0.0
2025,1,92237,Rodrigo Ely,Zagueiro,0,0.0
2025,1,92440,André Ramalho,Zagueiro,0,0.0
2025,1,92708,Deyverson,Atacante,0,0.0
2025,1,92854,Borré,Atacante,0,0.0
2025,1,92981,Ronaldo,Meia,0,0.0
2025,1,93236,Rafael Ramos,Lateral,0,0.0
2025,1,93478,Wanderson,Atacante,0,0.0
2025,1,93716,Paulo Henrique,Lateral,0,0.0
2025,1,93790,Marlon Freitas,Meia,0,0.0
2025,1,93879,Marcão,Goleiro,0,0.0
2025,1,93882,Cleiton,Goleiro,0,0.0
2025,1,94044,John,Goleiro,0,0.0
2025,1,94067,Matheus Fernandes,Meia,0,0.0
2025,1,94154,Maycon,Meia,0,0.0
2025,1,94156,Diego Pituca,Meia,0,0.0
2025,1,94207,Guilherme,Atacante,0,0.0
2025,1,94509,Raphael Veiga,Meia,0,0.0
2025,1,94968,Juninho Capixaba,Lateral,0,0.0
2025,1,95131,Gabriel Taliari,Atacante,0,0.0
2025,1,95354,Giraldo,Meia,0,0.0
2025,1,95357,Rivera,Meia,0,0.0
2025,1,95464,Gregore,Meia,0,0.0
2025,1,95466,Igor Vinícius,Lateral,0,0.0
2025,1,95799,Artur,Atacante,0,0.0
2025,1,96340,Lima,Meia,0,0.0
2025,1,96342,Charles,Meia,0,0.0
2025,1,96610,Matheus Pereira,Meia,0,0.0
2025,1,97145,Villasanti,Meia,0,0.0
2025,1,97341,Rogério Ceni,Tecnico,0,0.0
2025,1,97460,João Victor,Zagueiro,0,0.0
2025,1,97653,Murilo,Zagueiro,0,0.0
2025,1,97810,Erick,Atacante,0,0.0
2025,1,97867,Léo Ortiz,Zagueiro,0,0.0
2025,1,97868,Iago,Lateral,0,0.0
2025,1,97899,Matheus Bahia,Lateral,0,0.0
2025,1,97900,Vitão,Zagueiro,0,0.0
2025,1,98022,Erick,Meia,0,0.0
2025,1,98225,Pedro Raul,Atacante,0,0.0
2025,1,98484,Kanu,Zagueiro,0,0.0
2025,1,98517,Jean Lucas,Meia,0,0.0
2025,1,98619,Kuscevic,Zagueiro,0,0.0
2025,1,98672,Savarino,Meia,0,0.0
2025,1,98720,Angileri,Lateral,0,0.0
2025,1,98909,Cuello,Atacante,0,0.0
2025,1,99032,Lourenço,Meia,0,0.0
2025,1,99198,Vegetti,Atacante,0,0.0
2025,1,99228,De la Cruz,Meia,0,0.0
2025,1,99253,Chico,Zagueiro,0,0.0
2025,1,99267,Pochettino,Meia,0,0.0
2025,1,99274,Alexander Barboza,Zagueiro,0,0.0
2025,1,99366,Luis Zubeldía,Tecnico,0,0.0
2025,1,99392,Michael,Atacante,0,0.0
2025,1,99552,Rossi,Goleiro,0,0.0
2025,1,99815,Arias,Meia,0,0.0
2025,1,99889,Alan Franco,Zagueiro,0,0.0
2025,1,100652,Yuri Alberto,Atacante,0,0.0
2025,1,100742,Matheus Henrique,Meia,0,0.0
2025,1,100846,Lucas Esteves,Lateral,0,0.0
2025,1,100898,Vitinho,Lateral,0,0.0
2025,1,100969,Ronald Lopes,Meia,0,0.0
2025,1,101002,Júnior Santos,Atacante,0,0.0
2025,1,101027,Diego,Lateral,0,0.0
2025,1,101290,Ferreira,Atacante,0,0.0
2025,1,101314,Ademir,Atacante,0,0.0
2025,1,101319,Guga,Lateral,0,0.0
2025,1,101573,Pepê,Meia,0,0.0
2025,1,101594,Hugo Moura,Meia,0,0.0
2025,1,101752,Claudinho,Lateral,0,0.0
2025,1,101908,Willian Machado,Zagueiro,0,0.0
2025,1,101960,Vitinho,Atacante,0,0.0
2025,1,102130,Piquerez,Lateral,0,0.0
2025,1,102253,Lucas Halter,Zagueiro,0,0.0
2025,1,102256,Rollheiser,Meia,0,0.0
2025,1,102340,Cacá,Zagueiro,0,0.0
2025,1,102928,Canobbio,Atacante,0,0.0
2025,1,102950,Facundo Torres,Atacante,0,0.0
2025,1,102975,Escobar,Lateral,0,0.0
2025,1,103014,Laquintana,Atacante,0,0.0
2025,1,103056,Gabriel Brazão,Goleiro,0,0.0
2025,1,103295,Eric Ramires,Meia,0,0.0
2025,1,103347,Matheus Alexandre,Lateral,0,0.0
2025,1,103388,Emmanuel Martínez,Meia,0,0.0
2025,1,103445,Kaio Jorge,Atacante,0,0.0
2025,1,103764,Gabriel Veron,Atacante,0,0.0
2025,1,103767,Gabriel Menino,Meia,0,0.0
2025,1,104027,Rafael Guanaes,Tecnico,0,0.0
2025,1,104075,Sabino,Zagueiro,0,0.0
2025,1,104085,Bruno Fuchs,Zagueiro,0,0.0
2025,1,104134,Fabri,Atacante,0,0.0
2025,1,104204,Edson Carioca,Atacante,0,0.0
2025,1,104250,João Victor,Zagueiro,0,0.0
2025,1,104253,Adriano Martins,Zagueiro,0,0.0
2025,1,104257,João Lucas,Lateral,0,0.0
2025,1,104271,Hereda,Lateral,0,0.0
2025,1,104519,Camilo,Meia,0,0.0
2025,1,104528,Igor Jesus,Atacante,0,0.0
2025,1,104666,Moisés,Atacante,0,0.0
2025,1,104693,Newton,Meia,0,0.0
2025,1,104754,Juan Vojvoda,Tecnico,0,0.0
2025,1,104758,Enzo Díaz,Lateral,0,0.0
2025,1,104783,Acevedo,Meia,0,0.0
2025,1,104849,Arezo,Atacante,0,0.0
2025,1,104994,Wagner Leonardo,Zagueiro,0,0.0
2025,1,105171,Fabrício Daniel,Atacante,0,0.0
2025,1,105214,Santiago Rodríguez,Meia,0,0.0
2025,1,105337,Lucas Lima,Meia,0,0.0
2025,1,105373,Gabriel Xavier,Zagueiro,0,0.0
2025,1,105568,Lucero,Atacante,0,0.0
2025,1,105584,Lucas Piton,Lateral,0,0.0
2025,1,105786,Talles Magno,Atacante,0,0.0
2025,1,105811,Wesley,Atacante,0,0.0
2025,1,105903,José Aldo,Meia,0,0.0
2025,1,105949,Rochet,Goleiro,0,0.0
2025,1,105990,Santiago Mingo,Zagueiro,0,0.0
2025,1,106082,Ewerthon,Lateral,0,0.0
2025,1,106147,Thiago Carpini,Tecnico,0,0.0
2025,1,106294,Marcos Antônio,Meia,0,0.0
2025,1,106323,Caio Alexandre,Meia,0,0.0
2025,1,106681,Léo Pereira,Atacante,0,0.0
2025,1,106704,Carlos Alberto,Atacante,0,0.0
2025,1,106822,Rodrigo Nestor,Meia,0,0.0
2025,1,107093,Luciano Juba,Lateral,0,0.0
2025,1,107111,Richard Ríos,Meia,0,0.0
2025,1,107172,Patrick de Paula,Meia,0,0.0
2025,1,107179,Matheus Donelli,Goleiro,0,0.0
2025,1,107516,Ênio,Atacante,0,0.0
2025,1,107554,Natanael,Lateral,0,0.0
2025,1,107726,Chrystian Barletta,Atacante,0,0.0
2025,1,107771,Fábio Matias,Tecnico,0,0.0
2025,1,107908,Hugo,Lateral,0,0.0
2025,1,107989,Carbonero,Atacante,0,0.0
2025,1,108509,Fabricio Domínguez,Meia,0,0.0
2025,1,108671,Garré,Atacante,0,0.0
2025,1,108683,Emiliano Martínez,Meia,0,0.0
2025,1,108713,Galeano,Atacante,0,0.0
2025,1,109096,Plata,Atacante,0,0.0
2025,1,109401,Erick Pulga,Atacante,0,0.0
2025,1,109573,Martinelli,Meia,0,0.0
2025,1,109899,Batalla,Atacante,0,0.0
2025,1,110426,Bernabéi,Lateral,0,0.0
2025,1,110506,Abel Ferreira,Tecnico,0,0.0
2025,1,110510,Aguirre,Lateral,0,0.0
2025,1,110632,Luiz Filipe,Atacante,0,0.0
2025,1,110715,Andrés Hurtado,Lateral,0,0.0
2025,1,110727,Rubens,Meia,0,0.0
2025,1,110818,Renato Paiva,Tecnico,0,0.0
2025,1,111166,Rômulo,Meia,0,0.0
2025,1,111407,Luis Mandaca,Meia,0,0.0
2025,1,111594,Micael,Zagueiro,0,0.0
2025,1,111682,Adson,Meia,0,0.0
2025,1,111683,Anthoni,Goleiro,0,0.0
2025,1,111831,Matheus Martins,Atacante,0,0.0
2025,1,112709,Kaiki Bruno,Lateral,0,0.0
2025,1,112886,Lucas Barbosa,Atacante,0,0.0
2025,1,113034,Freytes,Zagueiro,0,0.0
2025,1,113103,Flaco López,Atacante,0,0.0
2025,1,113158,Marquinhos,Atacante,0,0.0
2025,1,113397,Cristian Olivera,Atacante,0,0.0
2025,1,113687,Du Queiroz,Meia,0,0.0
2025,1,114334,Gamarra,Zagueiro,0,0.0
2025,1,114802,Vitor Roque,Atacante,0,0.0
2025,1,115239,Wesley,Lateral,0,0.0
2025,1,115248,Jhon Jhon,Meia,0,0.0
2025,1,116012,Matheus Gonçalves,Meia,0,0.0
2025,1,116065,Cuiabano,Lateral,0,0.0
2025,1,116447,Hércules,Meia,0,0.0
2025,1,116461,Jamerson,Lateral,0,0.0
2025,1,117314,Thiago Borbas,Atacante,0,0.0
2025,1,117459,Léo Maná,Lateral,0,0.0
2025,1,117711,Pedro Caixinha,Tecnico,0,0.0
2025,1,117910,Breno Bidon,Meia,0,0.0
2025,1,117930,Lavega,Atacante,0,0.0
2025,1,118758,Jair,Zagueiro,0,0.0
2025,1,120566,Vitor Pernambuco,Atacante,0,0.0
2025,1,121792,André,Atacante,0,0.0
2025,1,122394,Gustavinho,Meia,0,0.0
2025,1,122573,Wallace Yan,Atacante,0,0.0
2025,1,122755,Lucas Cunha,Zagueiro,0,0.0
2025,1,122861,Abner,Zagueiro,0,0.0
2025,1,122897,Guzmán Rodríguez,Zagueiro,0,0.0
2025,1,123788,Lezcano,Meia,0,0.0
2025,1,123795,Lucho Rodríguez,Atacante,0,0.0
2025,1,123907,Pepa,Tecnico,0,0.0
2025,1,124239,Henry Mosquera,Atacante,0,0.0
2025,1,124251,Deivid Washington,Atacante,0,0.0
2025,1,124526,Giay,Lateral,0,0.0
2025,1,125467,Viery,Zagueiro,0,0.0
2025,1,125488,João Pedro,Zagueiro,0,0.0
2025,1,126182,Paulinho,Meia,0,0.0
2025,1,126471,Barreal,Meia,0,0.0
2025,1,126977,Fernando Seabra,Tecnico,0,0.0
2025,1,128915,Estêvão,Atacante,0,0.0
2025,1,130386,Maceió,Atacante,0,0.0
2025,1,130884,Igor Serrote,Lateral,0,0.0
2025,1,131516,JP Chermont,Lateral,0,0.0
2025,1,131617,André Silva,Atacante,0,0.0
2025,1,132071,Serna,Atacante,0,0.0
2025,1,132553,Jemmes,Zagueiro,0,0.0
2025,1,132580,Vinicinho,Atacante,0,0.0
2025,1,139076,Filipe Luís,Tecnico,0,0.0
2025,1,140364,João Marcelo,Atacante,0,0.0
2025,1,140365,Luca Meirelles,Atacante,0,0.0
2025,1,140541,Lucas Ferreira,Meia,0,0.0
2025,1,140542,Ryan Francisco,Atacante,0,0.0
2025,1,141493,Loide Augusto,Atacante,0,0.0
2025,1,141607,Matheus Alves,Meia,0,0.0
2025,1,141754,Gabriel Bontempo,Meia,0,0.0
2025,1,141763,Fabiano Souza,Lateral,0,0.0
2025,1,141996,João Silva,Zagueiro,0,0.0
2025,1,142004,Amuzu,Atacante,0,0.0
2025,1,142279,Nuno Moreira,Atacante,0,0.0
2025,2,37457,Léo Condé,Tecnico,0,0.0
2025,2,37656,Fábio,Goleiro,0,0.0
2025,2,37715,Thiago Silva,Zagueiro,0,0.0
2025,2,38913,Nenê,Meia,0,0.0
2025,2,39148,Hulk,Atacante,0,0.0
2025,2,39656,Alan Franco,Meia,0,0.0
2025,2,41929,Renato Gaúcho,Tecnico,0,0.0
2025,2,42222,Osvaldo,Atacante,0,0.0
2025,2,42234,Cássio,Goleiro,1,0.5
2025,2,42411,Cuca,Tecnico,0,0.0
2025,2,52271,Fernando,Meia,0,0.0
2025,2,52827,David Luiz,Zagueiro,0,0.0
2025,2,60793,Alex Teixeira,Atacante,0,0.0
2025,2,61987,Alex Sandro,Lateral,0,0.0
2025,2,62977,Ganso,Meia,0,0.0
2025,2,63110,Alan Ruschel,Lateral,0,0.0
2025,2,63289,Edenílson,Meia,0,0.0
2025,2,68685,Alan Patrick,Meia,0,0.0
2025,2,68708,Eduardo,Meia,0,0.0
2025,2,68920,Dudu,Atacante,1,0.5
2025,2,68923,Gil,Zagueiro,0,0.0
2025,2,68928,Rafael,Goleiro,0,0.0
2025,2,68991,Lucas Sasha,Meia,0,0.0
2025,2,68996,Willian José,Atacante,0,0.0
2025,2,69138,Pablo,Atacante,0,0.0
2025,2,70360,Eduardo Sasha,Atacante,0,0.0
2025,2,70592,Felipe Anderson,Meia,0,0.0
2025,2,70666,Marllon,Zagueiro,1,0.5
2025,2,70696,Fábio Carille,Tecnico,1,0.5
2025,2,70788,Enner Valencia,Atacante,0,0.0
2025,2,70944,Bruno Henrique,Meia,1,0.5
2025,2,71631,Weverton,Goleiro,1,0.5
2025,2,72018,Tiago Volpi,Goleiro,0,0.0
2025,2,72294,Everson,Goleiro,0,0.0
2025,2,72460,Bernard,Meia,0,0.0
2025,2,72493,Alex Telles,Lateral,0,0.0
2025,2,72864,Gustavo Quinteros,Tecnico,0,0.0
2025,2,73318,Daniel Borges,Lateral,0,0.0
2025,2,73384,Samuel Xavier,Lateral,0,0.0
2025,2,73515,Gabriel,Meia,0,0.0
2025,2,77485,Carrillo,Meia,0,0.0
2025,2,77656,Cédric Soares,Lateral,0,0.0
2025,2,77664,Sérgio Oliveira,Meia,0,0.0
2025,2,77777,João Schmidt,Meia,0,0.0
2025,2,78117,Everaldo,Atacante,0,0.0
2025,2,78445,Renê,Lateral,0,0.0
2025,2,78605,Gabriel,Meia,0,0.0
2025,2,78850,Reinaldo,Lateral,0,0.0
2025,2,79066,Alex Muralha,Goleiro,0,0.0
2025,2,79266,Bruno Ferreira,Goleiro,0,0.0
2025,2,79437,Roger Machado,Tecnico,0,0.0
2025,2,79631,Cano,Atacante,0,0.0
2025,2,80129,Jadson,Meia,0,0.0
2025,2,80196,Yago Pikachu,Meia,0,0.0
2025,2,80287,Luciano,Atacante,0,0.0
2025,2,80313,Gilberto,Lateral,0,0.0
2025,2,80570,Wendell,Lateral,0,0.0
2025,2,80583,Lucas Lima,Meia,0,0.0
2025,2,81091,Jair,Meia,0,0.0
2025,2,81121,Lucas Mugni,Meia,0,0.0
2025,2,81845,Alisson,Meia,0,0.0
2025,2,81881,João Ricardo,Goleiro,0,0.0
2025,2,81952,Willian Oliveira,Meia,0,0.0
2025,2,82627,Luiz Araújo,Atacante,0,0.0
2025,2,82775,Lucas Ramon,Lateral,0,0.0
2025,2,83257,Gabriel,Atacante,0,0.0
2025,2,83528,Léo Pereira,Zagueiro,0,0.0
2025,2,84042,Tiquinho Soares,Atacante,0,0.0
2025,2,84263,Jemerson,Zagueiro,0,0.0
2025,2,84428,Fernando Sobral,Meia,0,0.0
2025,2,84558,Lucas Romero,Meia,0,0.0
2025,2,84674,Lucas Evangelista,Meia,0,0.0
2025,2,85034,Óscar Romero,Meia,0,0.0
2025,2,85048,Memphis Depay,Atacante,0,0.0
2025,2,85403,Danielzinho,Meia,0,0.0
2025,2,85856,Ricardo Ryller,Meia,0,0.0
2025,2,85930,Aylon,Atacante,0,0.0
2025,2,86485,Keno,Atacante,0,0.0
2025,2,86686,Tchê Tchê,Meia,0,0.0
2025,2,86757,Everton,Atacante,0,0.0
2025,2,86859,José Welison,Meia,0,0.0
2025,2,87008,Léo Jardim,Goleiro,0,0.0
2025,2,87225,Pedro Henrique,Zagueiro,0,0.0
2025,2,87228,Guilherme Arana,Lateral,0,0.0
2025,2,87258,Soteldo,Atacante,0,0.0
2025,2,87470,Thaciano,Meia,0,0.0
2025,2,87742,Neto Moura,Meia,0,0.0
2025,2,87863,Arrascaeta,Meia,0,0.0
2025,2,87999,Gustavo Scarpa,Meia,0,0.0
2025,2,88312,Junior Alonso,Zagueiro,0,0.0
2025,2,88323,Ángel Romero,Atacante,0,0.0
2025,2,88963,Leonardo Jardim,Tecnico,1,0.5
2025,2,89048,Héctor Hernández,Atacante,0,0.0
2025,2,89273,João Pedro,Lateral,0,0.0
2025,2,89275,William,Lateral,1,0.5
2025,2,89840,Calleri,Atacante,0,0.0
2025,2,89846,Cristaldo,Meia,0,0.0
2025,2,90061,Bruno Pacheco,Lateral,0,0.0
2025,2,90285,Bruno Henrique,Atacante,0,0.0
2025,2,90307,Juninho,Atacante,0,0.0
2025,2,90703,Matheuzinho,Meia,0,0.0
2025,2,90768,Fabrício Bruno,Zagueiro,0,0.0
2025,2,90943,Zé Marcos,Zagueiro,0,0.0
2025,2,91101,Ronaldo,Goleiro,0,0.0
2025,2,91130,Fernandinho,Atacante,0,0.0
2025,2,91473,Erick Pulgar,Meia,0,0.0
2025,2,91573,Arboleda,Zagueiro,0,0.0
2025,2,91607,Rony,Atacante,1,0.5
2025,2,91639,Igor Cariús,Lateral,0,0.0
2025,2,91706,Marlon,Lateral,0,0.0
2025,2,91772,David Duarte,Zagueiro,0,0.0
2025,2,91808,Caíque França,Goleiro,1,0.5
2025,2,91866,Zé Ivaldo,Zagueiro,0,0.0
2025,2,91908,Pavón,Atacante,0,0.0
2025,2,92075,Ramón Díaz,Tecnico,0,0.0
2025,2,92085,Giovanny,Atacante,0,0.0
2025,2,92087,Lyanco,Zagueiro,0,0.0
2025,2,92440,André Ramalho,Zagueiro,0,0.0
2025,2,92708,Deyverson,Atacante,0,0.0
2025,2,92854,Borré,Atacante,0,0.0
2025,2,92981,Ronaldo,Meia,0,0.0
2025,2,93478,Wanderson,Atacante,0,0.0
2025,2,93790,Marlon Freitas,Meia,0,0.0
2025,2,93879,Marcão,Goleiro,1,0.5
2025,2,93882,Cleiton,Goleiro,0,0.0
2025,2,94044,John,Goleiro,1,0.5
2025,2,94067,Matheus Fernandes,Meia,0,0.0
2025,2,94154,Maycon,Meia,0,0.0
2025,2,94156,Diego Pituca,Meia,0,0.0
2025,2,94207,Guilherme,Atacante,0,0.0
2025,2,94444,Matheus Babi,Atacante,0,0.0
2025,2,94509,Raphael Veiga,Meia,0,0.0
2025,2,94968,Juninho Capixaba,Lateral,0,0.0
2025,2,95127,Nicolas,Lateral,0,0.0
2025,2,95131,Gabriel Taliari,Atacante,1,0.5
2025,2,95354,Giraldo,Meia,0,0.0
2025,2,95357,Rivera,Meia,0,0.0
2025,2,95464,Gregore,Meia,0,0.0
2025,2,95556,Raniele,Meia,0,0.0
2025,2,95799,Artur,Atacante,0,0.0
2025,2,96340,Lima,Meia,0,0.0
2025,2,96725,Saravia,Lateral,0,0.0
2025,2,97145,Villasanti,Meia,0,0.0
2025,2,97341,Rogério Ceni,Tecnico,0,0.0
2025,2,97460,João Victor,Zagueiro,0,0.0
2025,2,97642,Félix Torres,Zagueiro,0,0.0
2025,2,97653,Murilo,Zagueiro,0,0.0
2025,2,97810,Erick,Atacante,0,0.0
2025,2,97867,Léo Ortiz,Zagueiro,0,0.0
2025,2,97868,Iago,Lateral,0,0.0
2025,2,97899,Matheus Bahia,Lateral,0,0.0
2025,2,97900,Vitão,Zagueiro,0,0.0
2025,2,98022,Erick,Meia,0,0.0
2025,2,98225,Pedro Raul,Atacante,0,0.0
2025,2,98517,Jean Lucas,Meia,0,0.0
2025,2,98619,Kuscevic,Zagueiro,0,0.0
2025,2,98672,Savarino,Meia,0,0.0
2025,2,98909,Cuello,Atacante,0,0.0
2025,2,99032,Lourenço,Meia,0,0.0
2025,2,99198,Vegetti,Atacante,1,0.5
2025,2,99213,Puma Rodríguez,Lateral,0,0.0
2025,2,99228,De la Cruz,Meia,0,0.0
2025,2,99253,Chico,Zagueiro,1,0.5
2025,2,99274,Alexander Barboza,Zagueiro,0,0.0
2025,2,99366,Luis Zubeldía,Tecnico,0,0.0
2025,2,99392,Michael,Atacante,0,0.0
2025,2,99440,Baralhas,Meia,0,0.0
2025,2,99552,Rossi,Goleiro,0,0.0
2025,2,99815,Arias,Meia,0,0.0
2025,2,99889,Alan Franco,Zagueiro,1,0.5
2025,2,100084,Igor Gomes,Meia,0,0.0
2025,2,100652,Yuri Alberto,Atacante,0,0.0
2025,2,100742,Matheus Henrique,Meia,0,0.0
2025,2,100846,Lucas Esteves,Lateral,0,0.0
2025,2,100898,Vitinho,Lateral,0,0.0
2025,2,101002,Júnior Santos,Atacante,0,0.0
2025,2,101027,Diego,Lateral,1,0.5
2025,2,101290,Ferreira,Atacante,0,0.0
2025,2,101314,Ademir,Atacante,0,0.0
2025,2,101319,Guga,Lateral,0,0.0
2025,2,101594,Hugo Moura,Meia,0,0.0
2025,2,101727,Matheuzinho,Lateral,0,0.0
2025,2,101752,Claudinho,Lateral,0,0.0
2025,2,101908,Willian Machado,Zagueiro,0,0.0
2025,2,101960,Vitinho,Atacante,0,0.0
2025,2,102130,Piquerez,Lateral,0,0.0
2025,2,102253,Lucas Halter,Zagueiro,0,0.0
2025,2,102256,Rollheiser,Meia,0,0.0
2025,2,102561,Mastriani,Atacante,0,0.0
2025,2,102928,Canobbio,Atacante,0,0.0
2025,2,102950,Facundo Torres,Atacante,0,0.0
2025,2,102975,Escobar,Lateral,0,0.0
2025,2,103014,Laquintana,Atacante,0,0.0
2025,2,103056,Gabriel Brazão,Goleiro,0,0.0
2025,2,103295,Eric Ramires,Meia,1,0.5
2025,2,103347,Matheus Alexandre,Lateral,0,0.0
2025,2,103388,Emmanuel Martínez,Meia,0,0.0
2025,2,103764,Gabriel Veron,Atacante,0,0.0
2025,2,103767,Gabriel Menino,Meia,0,0.0
2025,2,104027,Rafael Guanaes,Tecnico,0,0.0
2025,2,104085,Bruno Fuchs,Zagueiro,0,0.0
2025,2,104118,Lucas Arcanjo,Goleiro,0,0.0
2025,2,104134,Fabri,Atacante,0,0.0
2025,2,104250,João Victor,Zagueiro,0,0.0
2025,2,104253,Adriano Martins,Zagueiro,1,0.5
2025,2,104271,Hereda,Lateral,0,0.0
2025,2,104519,Camilo,Meia,0,0.0
