apelido;atleta_id;rodada;clube_id;posicao_id;status_id;pontuacao;preco_num;variacao_num;FC;FD;FF;FS;G;I;DS;CA;PE;A;SG;DD;FT;GS;CV;GC;ano;PP;DP;DE;PS;V;PC;posicao;clube;rodada_real;media_pre_rodada;perfil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arrascaeta;87863;11;262;4;0;13,1;0.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Flamengo;11;12.65;Inesperado;;;;;;Carrascal;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;2;0,052631579
Villasanti;97145;11;284;4;0;12,7;0.0;0.0;3.0;0.0;2.0;0.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Grêmio;11;4.025;Inesperado;;;;;;Léo Jardim;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;2;0,052631579
Evertton Araújo;115914;11;262;4;0;10,6;0.0;0.0;2.0;1.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Flamengo;11;2.1;Inesperado;;;;;;Kaiki Bruno;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;2;0,052631579
Willian José;68996;11;265;5;0;18,4;0.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;Bahia;11;13.125;Inesperado;;;;;;Tinga;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,026315789
Luiz Araújo;82627;11;262;5;0;20,7;0.0;0.0;1.0;1.0;1.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;Flamengo;11;4.033.333.333.333.330;Inesperado;;;;;;Ramón Sosa;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;0,026315789
Kaio Jorge;103445;11;283;5;0;19,3;0.0;0.0;1.0;0.0;2.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;Cruzeiro;11;11.0;Inesperado;;;;;;Nuno Moreira;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;0,026315789
Renato Gaúcho;41929;11;266;6;0;10,65;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;1.0;0.0;Técnico;Fluminense;11;5.008;Inesperado;;;;;;Caíque França;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;0,026315789
Gabriel Brazão;103056;12;277;1;0;8,4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;2025;0.0;0.0;8.0;0.0;0.0;0.0;Goleiro;Santos;12;4.754.545.454.545.450;Inesperado;;;;;;Borré;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;0,026315789
Paulo Henrique;93716;12;267;2;0;14,9;0.0;0.0;2.0;1.0;1.0;1.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Lateral;Vasco;12;78.625;Inesperado;;;;;;Herrera;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;0,026315789
Luciano Juba;107093;12;265;2;0;12,9;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Lateral;Bahia;12;5.527.272.727.272.720;Inesperado;;;;;;Willian Machado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;0,026315789
Fabrício Bruno;90768;12;283;3;0;8,2;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Zagueiro;Cruzeiro;12;3.56;Inesperado;;;;;;Cano;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1;0,026315789
Villalba;106593;12;283;3;0;13,7;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Zagueiro;Cruzeiro;12;57.125;Inesperado;;;;;;Piquerez;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;0,026315789
Yago Pikachu;80196;12;356;4;0;18,5;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;1.0;0.0;0.0;Meia;Fortaleza;12;2.15;Inesperado;;;;;;Canobbio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;0,026315789
Thiago Maia;89637;12;285;4;0;13,4;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;9.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Internacional;12;3.025;Inesperado;;;;;;Renê;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,026315789
Breno Bidon;117910;12;264;4;0;10,4;0.0;0.0;2.0;0.0;0.0;2.0;1.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Corinthians;12;3.56;Inesperado;;;;;;Igor Jesus;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,026315789
Braithwaite;89368;12;284;5;0;11,7;0.0;0.0;1.0;0.0;0.0;2.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;Grêmio;12;5.511.111.111.111.110;Inesperado;;;;;;Souza;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,026315789
Rayan;122486;12;267;5;0;14,5;0.0;0.0;0.0;1.0;1.0;3.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;Vasco;12;4.488.888.888.888.880;Inesperado;;;;;;Cantalapiedra;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;0,026315789
Alysson;133669;12;284;5;0;17,9;0.0;0.0;1.0;1.0;0.0;3.0;0.0;0.0;5.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;Grêmio;12;3.942.857.142.857.140;Inesperado;;;;;;Vitor Hugo;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;0,026315789
Cuca;42411;12;282;6;0;9,35;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;1.0;0.0;Técnico;Atlético-MG;12;6.120.000.000.000.000;Inesperado;;;;;;Jadson;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,026315789
John;94044;13;263;1;0;11,5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;5.0;0.0;0.0;0.0;Goleiro;Botafogo;13;6.42;Inesperado;;;;;;Nenê;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;0,026315789
Reginaldo;86820;13;286;2;0;11,9;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Lateral;Juventude;13;1.125;Inesperado;;;;;;Jandrei;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;1;0,026315789
Wesley;115239;13;262;2;0;14,7;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;2.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Lateral;Flamengo;13;7.55;Inesperado;;;;;;Fábio Matias;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,026315789
Léo Ortiz;97867;13;262;3;0;9,7;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Zagueiro;Flamengo;13;57.700.000.000.000.000;Inesperado;;;;;;Carbonero;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;0,026315789
Villalba;106593;13;283;3;0;12,7;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Zagueiro;Cruzeiro;13;6.6;Inesperado;;;;;;Ayrton Lucas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;0,026315789
Lucas Romero;84558;13;283;4;0;10,1;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Cruzeiro;13;50.181.818.181.818.100;Inesperado;;;;;;Jeffinho;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;0,026315789
Matheus Pereira;96610;13;283;4;0;16,7;0.0;0.0;1.0;1.0;1.0;4.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Cruzeiro;13;7.709.999.999.999.990;Inesperado;;;;;;Reginaldo;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,026315789
Jean Lucas;98517;13;265;4;0;8,6;0.0;0.0;3.0;0.0;0.0;1.0;0.0;0.0;6.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Bahia;13;25.300.000.000.000.000;Inesperado;;;;;;Allan;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;0,026315789
Gilberto;61188;13;286;5;0;15,8;0.0;0.0;3.0;0.0;1.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;Juventude;13;0.9624999999999999;Inesperado;;;;;;Roger Machado;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,026315789
Luiz Araújo;82627;13;262;5;0;14,2;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;Flamengo;13;5.7;Inesperado;;;;;;Adonis Frías;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;0,026315789
Kaio Jorge;103445;13;283;5;0;26,2;0.0;0.0;1.0;1.0;1.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;Cruzeiro;13;11.018.181.818.181.800;Inesperado;;;;;;Santiago Rodríguez;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;0,026315789
Filipe Luís;139076;13;262;6;0;8,84;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;1.0;0.0;Técnico;Flamengo;13;7.06;Inesperado;;;;;;André;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;0,026315789
Lucas Arcanjo;104118;14;287;1;0;14,4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;8.0;0.0;0.0;0.0;Goleiro;Vitória;14;4.625;Inesperado;;;;;;Thiago Maia;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,026315789
Matheus Bidu;105531;14;264;2;0;12,5;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;4.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Lateral;Corinthians;14;7.183.333.333.333.330;Inesperado;;;;;;André Ramalho;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;0,026315789
Andrés Hurtado;110715;14;280;2;0;12;0.0;0.0;0.0;0.0;0.0;2.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Lateral;Bragantino;14;5.136.363.636.363.630;Inesperado;;;;;;Galeano;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1;0,026315789
Fabrício Bruno;90768;14;283;3;0;13;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Zagueiro;Cruzeiro;14;38.166.666.666.666.600;Inesperado;;;;;;Joaquín Correa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;0,026315789
Alexander Barboza;99274;14;263;3;0;9,7;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Zagueiro;Botafogo;14;6.266.666.666.666.660;Inesperado;;;;;;Bruno Tabata;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;0,026315789
Neymar;63007;14;277;4;0;10,8;0.0;0.0;3.0;1.0;0.0;5.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Santos;14;1.35;Inesperado;;;;;;Cássio;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;0,026315789
Raphael Veiga;94509;14;275;4;0;8,1;0.0;0.0;0.0;0.0;2.0;3.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Palmeiras;14;23.600.000.000.000.000;Inesperado;;;;;;Hércules;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,026315789
Matheus Pereira;96610;14;283;4;0;13,8;0.0;0.0;2.0;2.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Cruzeiro;14;8.527.272.727.272.720;Inesperado;;;;;;Jorge Sampaoli;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;0,026315789
Luciano;80287;14;276;5;0;19,4;0.0;0.0;2.0;2.0;2.0;3.0;0.0;0.0;3.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;São Paulo;14;4.32;Inesperado;;;;;;Everson;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;0,026315789
Facundo Torres;102950;14;275;5;0;9,9;0.0;0.0;3.0;0.0;1.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;Palmeiras;14;4.533.333.333.333.330;Inesperado;;;;;;Chrystian Barletta;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,026315789
André Silva;131617;14;276;5;0;16,2;0.0;0.0;1.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;São Paulo;14;41.000.000.000.000.000;Inesperado;;;;;;Evertton Araújo;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,026315789
Leonardo Jardim;88963;14;283;6;0;9,15;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;1.0;0.0;Técnico;Cruzeiro;14;6.853.076.923.076.920;Inesperado;;;;;;Cleiton;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,026315789
John;94044;15;263;1;0;11,5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;5.0;0.0;0.0;0.0;Goleiro;Botafogo;15;6.875;Inesperado;;;;;;Peixoto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;0,026315789
Reinaldo;78850;15;2305;2;0;15;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Lateral;Mirassol;15;7.233.333.333.333.330;Inesperado;;;;;;Juninho;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;0,026315789
Wendell;80570;15;276;2;0;19,3;0.0;0.0;1.0;0.0;2.0;1.0;0.0;0.0;5.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Lateral;São Paulo;15;32.285.714.285.714.200;Inesperado;;;;;;Puma Rodríguez;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1;0,026315789
Arboleda;91573;15;276;3;0;12,3;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;4.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Zagueiro;São Paulo;15;4.0;Inesperado;;;;;;Juninho Capixaba;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,026315789
Ferraresi;105300;15;276;3;0;14,2;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;6.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Zagueiro;São Paulo;15;31.333.333.333.333.300;Inesperado;;;;;;Ramon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;0,026315789
Alan Patrick;68685;15;285;4;0;14,1;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Internacional;15;5.933.333.333.333.330;Inesperado;;;;;;Junior Alonso;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;0,026315789
Eduardo;68708;15;283;4;0;14,2;0.0;0.0;1.0;0.0;0.0;1.0;1.0;0.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Cruzeiro;15;0.11818181818181818;Inesperado;;;;;;Raphael Veiga;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,026315789
Lucas Evangelista;84674;15;275;4;0;13,3;0.0;0.0;3.0;1.0;0.0;1.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Palmeiras;15;24.749.999.999.999.900;Inesperado;;;;;;Cristaldo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;0,026315789
Hulk;39148;15;282;5;0;20,8;0.0;0.0;4.0;1.0;1.0;4.0;2.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;Atlético-MG;15;5.5;Inesperado;;;;;;Renato Gaúcho;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,026315789
Luciano;80287;15;276;5;0;20,3;0.0;0.0;1.0;0.0;2.0;3.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;São Paulo;15;5.690.909.090.909.090;Inesperado;;;;;;Cristian Olivera;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,026315789
Gabriel;83257;15;283;5;0;20,4;0.0;0.0;1.0;0.0;1.0;2.0;2.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;Cruzeiro;15;27.818.181.818.181.800;Inesperado;;;;;;Barros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;0,026315789
Leonardo Jardim;88963;15;283;6;0;10,8;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;1.0;0.0;Técnico;Cruzeiro;15;7.017.142.857.142.850;Inesperado;;;;;;Khellven;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;0,026315789
Walter;51413;16;2305;1;0;13,1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;7.0;0.0;0.0;0.0;Goleiro;Mirassol;16;6.771.428.571.428.570;Inesperado;;;;;;Romarinho;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;0,026315789
Wendell;80570;16;276;2;0;10,7;0.0;0.0;2.0;0.0;1.0;2.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Lateral;São Paulo;16;5.237.500.000.000.000;Inesperado;;;;;;Kuscevic;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,026315789
William;89275;16;283;2;0;10,7;0.0;0.0;2.0;0.0;1.0;2.0;0.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Lateral;Cruzeiro;16;8.636.363.636.363.630;Inesperado;;;;;;Braithwaite;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,026315789
Gustavo Henrique;78248;16;264;3;0;10,4;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Zagueiro;Corinthians;16;3.35;Inesperado;;;;;;Laquintana;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;0,026315789
André Ramalho;92440;16;264;3;0;8,8;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Zagueiro;Corinthians;16;3.12;Inesperado;;;;;;Serna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;0,026315789
Arrascaeta;87863;16;262;4;0;11,3;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Flamengo;16;9.716.666.666.666.660;Inesperado;;;;;;Lautaro Díaz;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;0,026315789
Maurício;105647;16;275;4;0;10,4;0.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Palmeiras;16;3.322.222.222.222.220;Inesperado;;;;;;Thaciano;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;0,026315789
Barreal;126471;16;277;4;0;11,2;0.0;0.0;1.0;1.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Santos;16;6.2;Inesperado;;;;;;Léo Aragão;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;0,026315789
Romarinho;84523;16;292;5;0;16;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;Sport;16;0.9166666666666666;Inesperado;;;;;;Gabriel Knesowitsch;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;0,026315789
Erick;97810;16;287;5;0;17,9;0.0;0.0;2.0;0.0;0.0;5.0;1.0;0.0;4.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;Vitória;16;31.818.181.818.181.800;Inesperado;;;;;;Léo Condé;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0,026315789
Lucas Barbosa;112886;16;280;5;0;13,1;0.0;0.0;3.0;0.0;2.0;3.0;1.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;Bragantino;16;39.846.153.846.153.800;Inesperado;;;;;;Brenno;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;1;0,026315789
