apelido;atleta_id;rodada;clube_id;posicao_id;status_id;pontuacao;preco_num;variacao_num;FC;FD;FF;FS;G;I;DS;CA;PE;A;SG;DD;FT;GS;CV;GC;ano;PP;DP;DE;PS;V;PC;posicao;clube;rodada_real;media_pre_rodada;perfil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wesley;105811;2;285;5;0;13,1;0.0;0.0;2.0;2.0;1.0;2.0;0.0;0.0;3.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Atacante;Internacional;2;5.0;Inesperado;;;;;;Total Geral;20;21;16;16;11;14;37;48;23;20;17;24;15;27;32;27;35;12;27;14;;456;;;;;;;;;;;;;;;;;;;
Roger Machado;79437;2;285;6;0;10,05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;1.0;0.0;Técnico;Internacional;2;4.33;Inesperado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lucas Arcanjo;104118;3;287;1;0;9,7;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;2025;0.0;0.0;9.0;0.0;0.0;0.0;Goleiro;Vitória;3;4.5;Inesperado;;;;;;Contagem de atleta_id;Rótulos de Coluna;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Samuel Xavier;73384;3;266;2;0;17,3;0.0;0.0;3.0;1.0;0.0;2.0;1.0;0.0;2.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Lateral;Fluminense;3;1.5;Inesperado;;;;;;Rótulos de Linha;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;(vazio);Total Geral;
Paulo Henrique;93716;3;267;2;0;13,3;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;8.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Lateral;Vasco;3;14.1;Inesperado;;;;;;Arrascaeta;;1;1;1;;1;1;1;;;1;;;;;1;;;;;1;;1;;1;;;;1;;1;1;;;1;;;;;15;0,394736842
David Luiz;52827;3;356;3;0;9,5;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;3.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Zagueiro;Fortaleza;3;2.35;Inesperado;;;;;;Reinaldo;;;;;1;;;;;1;1;;;;1;;;;;;;1;;1;;1;;1;1;;;;;1;1;;;;;11;0,289473684
Pedro Henrique;87225;3;280;3;0;10,7;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;4.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Zagueiro;Bragantino;3;3.85;Inesperado;;;;;;Kaio Jorge;;;;1;;;;1;;1;1;;1;;;;;;;;;;;;;;;;;;1;;;1;1;;;;;8;0,210526316
Arrascaeta;87863;3;262;4;0;16,5;0.0;0.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Flamengo;3;11.8;Inesperado;;;;;;Pedro;;;;1;;1;;;;;;;;;;;;;;1;1;;;;;;;1;1;;;;;;;;;;;6;0,157894737
Fausto Vera;107950;3;282;4;0;11,1;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Atlético-MG;3;0.0;Inesperado;;;;;;Barreal;1;;;1;;;;;;;;;;;;1;;1;;;;;;;;;;1;;1;;;;;;;;;;6;0,157894737
Luis Mandaca;111407;3;286;4;0;11,8;0.0;0.0;1.0;0.0;2.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2025;0.0;0.0;0.0;0.0;0.0;0.0;Meia;Juventude;3;3.15;Inesperado;;;;;;Villalba;;;;;;;;;1;;;1;1;;;;;1;;;;;;;;;;;;;;;1;;;;;;;5;0,131578947
